Runner Episode: 1	Loss: 0.586579	Accuracy: 0.760 	 Current Training Data Per Class: 250
Runner Episode: 2	Loss: 0.413881	Accuracy: 0.890 	 Current Training Data Per Class: 250
Runner Episode: 3	Loss: 0.152718	Accuracy: 0.980 	 Current Training Data Per Class: 250
Runner Episode: 4	Loss: 0.374268	Accuracy: 0.850 	 Current Training Data Per Class: 250
Runner Episode: 5	Loss: 0.651529	Accuracy: 0.720 	 Current Training Data Per Class: 250
Runner Episode: 6	Loss: 0.285454	Accuracy: 0.900 	 Current Training Data Per Class: 250
Runner Episode: 7	Loss: 0.277928	Accuracy: 0.910 	 Current Training Data Per Class: 250
Runner Episode: 8	Loss: 0.257947	Accuracy: 0.920 	 Current Training Data Per Class: 250
Runner Episode: 9	Loss: 0.516860	Accuracy: 0.810 	 Current Training Data Per Class: 250
Runner Episode: 10	Loss: 0.388140	Accuracy: 0.910 	 Current Training Data Per Class: 250
Runner Episode: 11	Loss: 0.441150	Accuracy: 0.850 	 Current Training Data Per Class: 250
Runner Episode: 12	Loss: 0.334084	Accuracy: 0.870 	 Current Training Data Per Class: 250
Runner Episode: 13	Loss: 0.552841	Accuracy: 0.800 	 Current Training Data Per Class: 250
Runner Episode: 14	Loss: 0.591692	Accuracy: 0.790 	 Current Training Data Per Class: 250
Runner Episode: 15	Loss: 0.268089	Accuracy: 0.950 	 Current Training Data Per Class: 250
Runner Episode: 16	Loss: 0.157864	Accuracy: 0.940 	 Current Training Data Per Class: 250
Runner Episode: 17	Loss: 0.114796	Accuracy: 0.960 	 Current Training Data Per Class: 250
Runner Episode: 18	Loss: 0.455019	Accuracy: 0.840 	 Current Training Data Per Class: 250
Runner Episode: 19	Loss: 0.409789	Accuracy: 0.850 	 Current Training Data Per Class: 250
Runner Episode: 20	Loss: 0.337871	Accuracy: 0.930 	 Current Training Data Per Class: 250
Runner Episode: 21	Loss: 0.584224	Accuracy: 0.770 	 Current Training Data Per Class: 250
Runner Episode: 22	Loss: 0.369025	Accuracy: 0.890 	 Current Training Data Per Class: 250
Runner Episode: 23	Loss: 0.468058	Accuracy: 0.870 	 Current Training Data Per Class: 250
Runner Episode: 24	Loss: 0.212330	Accuracy: 0.950 	 Current Training Data Per Class: 250
Runner Episode: 25	Loss: 0.675113	Accuracy: 0.730 	 Current Training Data Per Class: 250
Runner Episode: 26	Loss: 0.294700	Accuracy: 0.910 	 Current Training Data Per Class: 250
Runner Episode: 27	Loss: 0.393288	Accuracy: 0.840 	 Current Training Data Per Class: 250
Runner Episode: 28	Loss: 0.429988	Accuracy: 0.850 	 Current Training Data Per Class: 250
Runner Episode: 29	Loss: 0.373282	Accuracy: 0.880 	 Current Training Data Per Class: 250
Runner Episode: 30	Loss: 0.154484	Accuracy: 0.940 	 Current Training Data Per Class: 250
Runner Episode: 31	Loss: 0.419119	Accuracy: 0.830 	 Current Training Data Per Class: 250
Runner Episode: 32	Loss: 0.257263	Accuracy: 0.900 	 Current Training Data Per Class: 250
Runner Episode: 33	Loss: 0.351393	Accuracy: 0.890 	 Current Training Data Per Class: 250
Runner Episode: 34	Loss: 0.341152	Accuracy: 0.890 	 Current Training Data Per Class: 250
Runner Episode: 35	Loss: 0.197067	Accuracy: 0.930 	 Current Training Data Per Class: 250
Runner Episode: 36	Loss: 0.513274	Accuracy: 0.830 	 Current Training Data Per Class: 250
Runner Episode: 37	Loss: 0.370692	Accuracy: 0.890 	 Current Training Data Per Class: 250
Runner Episode: 38	Loss: 0.571548	Accuracy: 0.830 	 Current Training Data Per Class: 250
Runner Episode: 39	Loss: 0.313354	Accuracy: 0.860 	 Current Training Data Per Class: 250
Runner Episode: 40	Loss: 0.315192	Accuracy: 0.890 	 Current Training Data Per Class: 250
Runner Episode: 41	Loss: 0.701579	Accuracy: 0.720 	 Current Training Data Per Class: 250
Runner Episode: 42	Loss: 0.387759	Accuracy: 0.870 	 Current Training Data Per Class: 250
Runner Episode: 43	Loss: 0.528597	Accuracy: 0.800 	 Current Training Data Per Class: 250
Runner Episode: 44	Loss: 0.372571	Accuracy: 0.910 	 Current Training Data Per Class: 250
Runner Episode: 45	Loss: 0.668885	Accuracy: 0.700 	 Current Training Data Per Class: 250
Runner Episode: 46	Loss: 0.250823	Accuracy: 0.910 	 Current Training Data Per Class: 250
Runner Episode: 47	Loss: 0.466225	Accuracy: 0.860 	 Current Training Data Per Class: 250
Runner Episode: 48	Loss: 0.205446	Accuracy: 0.940 	 Current Training Data Per Class: 250
Runner Episode: 49	Loss: 0.124960	Accuracy: 0.970 	 Current Training Data Per Class: 250
Runner Episode: 50	Loss: 0.767053	Accuracy: 0.720 	 Current Training Data Per Class: 250
