Runner Episode: 1	Loss: 1.489771	Accuracy: 0.280 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 4.776342	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 1.688878	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.719303	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 3.254316	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 3.078722	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.675408	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 4.639429	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 3.093707	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 3.297631	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 3.653785	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 2.775767	Accuracy: 0.150 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.292286	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.021773	Accuracy: 0.180 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 3.657378	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 4.148472	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.095886	Accuracy: 0.050 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 3.112819	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.569248	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.211826	Accuracy: 0.200 	 Current Training Data Per Class: 5
