Runner Episode: 1	Loss: 3.880044	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.871654	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.792226	Accuracy: 0.090 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 4.025066	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.718625	Accuracy: 0.120 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.894946	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.799221	Accuracy: 0.040 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.946841	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.751157	Accuracy: 0.030 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.893257	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.907561	Accuracy: 0.060 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.781096	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.746670	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.960696	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.821653	Accuracy: 0.060 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.910643	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.777106	Accuracy: 0.030 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.893228	Accuracy: 0.040 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.862561	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.943916	Accuracy: 0.000 	 Current Training Data Per Class: 0
