Runner Episode: 1	Loss: 3.940787	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.861583	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.790617	Accuracy: 0.030 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 4.028996	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.716476	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.915107	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.743898	Accuracy: 0.160 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.980543	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.785868	Accuracy: 0.050 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.872013	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.890012	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.794592	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.766273	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.963524	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.802173	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.805869	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.792772	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.965911	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.795140	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.939496	Accuracy: 0.000 	 Current Training Data Per Class: 0
