Runner Episode: 1	Loss: 1.302117	Accuracy: 0.480 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.572629	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.271355	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.399391	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 1.836259	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.462201	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.313214	Accuracy: 0.110 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.268162	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.036047	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.610885	Accuracy: 0.270 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.061430	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 1.909983	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.081350	Accuracy: 0.230 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 1.940039	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.224194	Accuracy: 0.100 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.110066	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.196236	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.591709	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.133090	Accuracy: 0.240 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.408850	Accuracy: 0.200 	 Current Training Data Per Class: 5
