Runner Episode: 1	Loss: 1.429848	Accuracy: 0.620 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.424037	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.212319	Accuracy: 0.240 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.402615	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 2.211325	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.212926	Accuracy: 0.340 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.440993	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.249166	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.359615	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.270980	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.562878	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 2.026743	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.424775	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.212403	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.321246	Accuracy: 0.230 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.027819	Accuracy: 0.550 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.475456	Accuracy: 0.240 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.694435	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 1.970170	Accuracy: 0.420 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.786748	Accuracy: 0.200 	 Current Training Data Per Class: 5
