Runner Episode: 1	Loss: 1.424268	Accuracy: 0.440 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.527097	Accuracy: 0.230 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.364093	Accuracy: 0.110 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.345736	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 1.759435	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.315807	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.447982	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.228836	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.088515	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.373872	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.176499	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 1.724112	Accuracy: 0.440 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.037229	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 1.698919	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.333133	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.132533	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.223131	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.526115	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 1.996957	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.251688	Accuracy: 0.200 	 Current Training Data Per Class: 5
