Runner Episode: 1	Loss: 1.435644	Accuracy: 0.440 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.568163	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.374266	Accuracy: 0.110 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.380063	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 1.795585	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.322330	Accuracy: 0.240 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.453606	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.242834	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.108639	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.382763	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.186006	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 1.767339	Accuracy: 0.420 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.035638	Accuracy: 0.230 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 1.719678	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.343270	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.157717	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.233348	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.584494	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.009013	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.312344	Accuracy: 0.200 	 Current Training Data Per Class: 5
