Runner Episode: 1	Loss: 1.474717	Accuracy: 0.380 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.676994	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.382092	Accuracy: 0.130 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.510359	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 1.782638	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.431426	Accuracy: 0.250 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.433485	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.359888	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.103441	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.489530	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.137329	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 1.908355	Accuracy: 0.420 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.161581	Accuracy: 0.310 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 1.907327	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.318202	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.199287	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.248903	Accuracy: 0.160 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.613218	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.092337	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.540397	Accuracy: 0.200 	 Current Training Data Per Class: 5
