Runner Episode: 1	Loss: 1.721349	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.625456	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.371547	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.574973	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 1.865515	Accuracy: 0.430 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.636945	Accuracy: 0.340 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.767229	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.110699	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.581036	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.523217	Accuracy: 0.160 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.355088	Accuracy: 0.160 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 2.042781	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.268925	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.906365	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.593389	Accuracy: 0.260 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.352020	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.606044	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.597429	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.100559	Accuracy: 0.340 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.526460	Accuracy: 0.210 	 Current Training Data Per Class: 5
