Runner Episode: 1	Loss: 1.291775	Accuracy: 0.580 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 2.080518	Accuracy: 0.280 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 2.075155	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 1.941408	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 1.418141	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 2.044629	Accuracy: 0.250 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 2.091867	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 1.856514	Accuracy: 0.260 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 2.556812	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 2.115316	Accuracy: 0.270 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 2.269235	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 1.565012	Accuracy: 0.410 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 2.236227	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 1.456024	Accuracy: 0.430 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 1.909050	Accuracy: 0.260 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 1.740895	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 2.014900	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 1.421953	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 1.725495	Accuracy: 0.450 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 2.133365	Accuracy: 0.200 	 Current Training Data Per Class: 10
