Runner Episode: 1	Loss: 1.495542	Accuracy: 0.340 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.716381	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.746215	Accuracy: 0.250 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.850336	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 2.085530	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 3.494385	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 3.344451	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 3.448515	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.232467	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 3.533255	Accuracy: 0.180 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.793180	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 2.542045	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.461355	Accuracy: 0.240 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.744012	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.372309	Accuracy: 0.150 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.761468	Accuracy: 0.160 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.366015	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 2.121504	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 3.353424	Accuracy: 0.380 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.766894	Accuracy: 0.200 	 Current Training Data Per Class: 5
