Runner Episode: 1	Loss: 0.447963	Accuracy: 0.850 	 Current Training Data Per Class: 170
Runner Episode: 2	Loss: 0.320112	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 3	Loss: 0.424757	Accuracy: 0.830 	 Current Training Data Per Class: 170
Runner Episode: 4	Loss: 1.084006	Accuracy: 0.650 	 Current Training Data Per Class: 170
Runner Episode: 5	Loss: 0.531065	Accuracy: 0.830 	 Current Training Data Per Class: 170
Runner Episode: 6	Loss: 0.990997	Accuracy: 0.680 	 Current Training Data Per Class: 170
Runner Episode: 7	Loss: 0.563585	Accuracy: 0.800 	 Current Training Data Per Class: 170
Runner Episode: 8	Loss: 0.318455	Accuracy: 0.910 	 Current Training Data Per Class: 170
Runner Episode: 9	Loss: 0.399054	Accuracy: 0.870 	 Current Training Data Per Class: 170
Runner Episode: 10	Loss: 0.452533	Accuracy: 0.790 	 Current Training Data Per Class: 170
Runner Episode: 11	Loss: 0.540151	Accuracy: 0.820 	 Current Training Data Per Class: 170
Runner Episode: 12	Loss: 1.001472	Accuracy: 0.670 	 Current Training Data Per Class: 170
Runner Episode: 13	Loss: 0.273287	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 14	Loss: 0.348440	Accuracy: 0.880 	 Current Training Data Per Class: 170
Runner Episode: 15	Loss: 0.290538	Accuracy: 0.880 	 Current Training Data Per Class: 170
Runner Episode: 16	Loss: 0.593197	Accuracy: 0.760 	 Current Training Data Per Class: 170
Runner Episode: 17	Loss: 0.200884	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 18	Loss: 0.562258	Accuracy: 0.750 	 Current Training Data Per Class: 170
Runner Episode: 19	Loss: 0.796928	Accuracy: 0.790 	 Current Training Data Per Class: 170
Runner Episode: 20	Loss: 0.746021	Accuracy: 0.790 	 Current Training Data Per Class: 170
Runner Episode: 21	Loss: 0.223401	Accuracy: 0.930 	 Current Training Data Per Class: 170
