Runner Episode: 1	Loss: 1.347557	Accuracy: 0.600 	 Current Training Data Per Class: 180
Runner Episode: 2	Loss: 1.441018	Accuracy: 0.540 	 Current Training Data Per Class: 180
Runner Episode: 3	Loss: 1.136808	Accuracy: 0.605 	 Current Training Data Per Class: 180
Runner Episode: 4	Loss: 1.389127	Accuracy: 0.605 	 Current Training Data Per Class: 180
Runner Episode: 5	Loss: 1.047421	Accuracy: 0.640 	 Current Training Data Per Class: 180
Runner Episode: 6	Loss: 0.954071	Accuracy: 0.610 	 Current Training Data Per Class: 180
Runner Episode: 7	Loss: 0.943353	Accuracy: 0.610 	 Current Training Data Per Class: 180
Runner Episode: 8	Loss: 1.523903	Accuracy: 0.540 	 Current Training Data Per Class: 180
Runner Episode: 9	Loss: 1.397285	Accuracy: 0.485 	 Current Training Data Per Class: 180
Runner Episode: 10	Loss: 0.995488	Accuracy: 0.660 	 Current Training Data Per Class: 180
Runner Episode: 11	Loss: 0.969393	Accuracy: 0.625 	 Current Training Data Per Class: 180
Runner Episode: 12	Loss: 1.228595	Accuracy: 0.615 	 Current Training Data Per Class: 180
Runner Episode: 13	Loss: 1.246871	Accuracy: 0.555 	 Current Training Data Per Class: 180
Runner Episode: 14	Loss: 1.286278	Accuracy: 0.590 	 Current Training Data Per Class: 180
Runner Episode: 15	Loss: 1.077881	Accuracy: 0.670 	 Current Training Data Per Class: 180
Runner Episode: 16	Loss: 1.361272	Accuracy: 0.560 	 Current Training Data Per Class: 180
Runner Episode: 17	Loss: 1.146806	Accuracy: 0.590 	 Current Training Data Per Class: 180
Runner Episode: 18	Loss: 1.388990	Accuracy: 0.605 	 Current Training Data Per Class: 180
Runner Episode: 19	Loss: 0.907022	Accuracy: 0.635 	 Current Training Data Per Class: 180
Runner Episode: 20	Loss: 0.831807	Accuracy: 0.680 	 Current Training Data Per Class: 180
Runner Episode: 21	Loss: 1.117673	Accuracy: 0.595 	 Current Training Data Per Class: 180
Runner Episode: 22	Loss: 1.278628	Accuracy: 0.595 	 Current Training Data Per Class: 180
Runner Episode: 23	Loss: 1.251345	Accuracy: 0.605 	 Current Training Data Per Class: 180
Runner Episode: 24	Loss: 1.172042	Accuracy: 0.585 	 Current Training Data Per Class: 180
Runner Episode: 25	Loss: 1.075996	Accuracy: 0.590 	 Current Training Data Per Class: 180
Runner Episode: 26	Loss: 1.100156	Accuracy: 0.580 	 Current Training Data Per Class: 180
Runner Episode: 27	Loss: 1.112377	Accuracy: 0.620 	 Current Training Data Per Class: 180
Runner Episode: 28	Loss: 1.481493	Accuracy: 0.585 	 Current Training Data Per Class: 180
Runner Episode: 29	Loss: 1.356181	Accuracy: 0.635 	 Current Training Data Per Class: 180
Runner Episode: 30	Loss: 0.986535	Accuracy: 0.625 	 Current Training Data Per Class: 180
Runner Episode: 31	Loss: 1.240731	Accuracy: 0.600 	 Current Training Data Per Class: 180
Runner Episode: 32	Loss: 1.271181	Accuracy: 0.625 	 Current Training Data Per Class: 180
Runner Episode: 33	Loss: 1.199101	Accuracy: 0.615 	 Current Training Data Per Class: 180
Runner Episode: 34	Loss: 0.984464	Accuracy: 0.680 	 Current Training Data Per Class: 180
Runner Episode: 35	Loss: 1.710340	Accuracy: 0.525 	 Current Training Data Per Class: 180
Runner Episode: 36	Loss: 1.256765	Accuracy: 0.605 	 Current Training Data Per Class: 180
Runner Episode: 37	Loss: 1.526830	Accuracy: 0.565 	 Current Training Data Per Class: 180
Runner Episode: 38	Loss: 0.876571	Accuracy: 0.635 	 Current Training Data Per Class: 180
Runner Episode: 39	Loss: 1.104125	Accuracy: 0.620 	 Current Training Data Per Class: 180
Runner Episode: 40	Loss: 1.184103	Accuracy: 0.585 	 Current Training Data Per Class: 180
Runner Episode: 41	Loss: 1.196342	Accuracy: 0.615 	 Current Training Data Per Class: 180
Runner Episode: 42	Loss: 0.993736	Accuracy: 0.650 	 Current Training Data Per Class: 180
Runner Episode: 43	Loss: 1.347537	Accuracy: 0.560 	 Current Training Data Per Class: 180
Runner Episode: 44	Loss: 1.714904	Accuracy: 0.580 	 Current Training Data Per Class: 180
Runner Episode: 45	Loss: 1.022883	Accuracy: 0.645 	 Current Training Data Per Class: 180
Runner Episode: 46	Loss: 0.862638	Accuracy: 0.675 	 Current Training Data Per Class: 180
Runner Episode: 47	Loss: 1.242649	Accuracy: 0.625 	 Current Training Data Per Class: 180
Runner Episode: 48	Loss: 1.271804	Accuracy: 0.580 	 Current Training Data Per Class: 180
Runner Episode: 49	Loss: 1.191235	Accuracy: 0.590 	 Current Training Data Per Class: 180
Runner Episode: 50	Loss: 1.368797	Accuracy: 0.560 	 Current Training Data Per Class: 180
