Runner Episode: 1	Loss: 0.293185	Accuracy: 0.890 	 Current Training Data Per Class: 110
Runner Episode: 2	Loss: 0.566608	Accuracy: 0.830 	 Current Training Data Per Class: 110
Runner Episode: 3	Loss: 0.620992	Accuracy: 0.810 	 Current Training Data Per Class: 110
Runner Episode: 4	Loss: 0.683334	Accuracy: 0.740 	 Current Training Data Per Class: 110
Runner Episode: 5	Loss: 0.474085	Accuracy: 0.840 	 Current Training Data Per Class: 110
Runner Episode: 6	Loss: 0.655214	Accuracy: 0.800 	 Current Training Data Per Class: 110
Runner Episode: 7	Loss: 0.401774	Accuracy: 0.860 	 Current Training Data Per Class: 110
Runner Episode: 8	Loss: 0.524948	Accuracy: 0.820 	 Current Training Data Per Class: 110
Runner Episode: 9	Loss: 0.491603	Accuracy: 0.880 	 Current Training Data Per Class: 110
Runner Episode: 10	Loss: 0.646139	Accuracy: 0.750 	 Current Training Data Per Class: 110
Runner Episode: 11	Loss: 0.781477	Accuracy: 0.780 	 Current Training Data Per Class: 110
Runner Episode: 12	Loss: 0.890727	Accuracy: 0.690 	 Current Training Data Per Class: 110
Runner Episode: 13	Loss: 0.519124	Accuracy: 0.830 	 Current Training Data Per Class: 110
Runner Episode: 14	Loss: 0.463041	Accuracy: 0.820 	 Current Training Data Per Class: 110
Runner Episode: 15	Loss: 0.413541	Accuracy: 0.840 	 Current Training Data Per Class: 110
Runner Episode: 16	Loss: 1.003197	Accuracy: 0.750 	 Current Training Data Per Class: 110
Runner Episode: 17	Loss: 0.348717	Accuracy: 0.860 	 Current Training Data Per Class: 110
Runner Episode: 18	Loss: 1.354792	Accuracy: 0.570 	 Current Training Data Per Class: 110
Runner Episode: 19	Loss: 0.498336	Accuracy: 0.800 	 Current Training Data Per Class: 110
Runner Episode: 20	Loss: 0.781719	Accuracy: 0.740 	 Current Training Data Per Class: 110
Runner Episode: 21	Loss: 0.634578	Accuracy: 0.790 	 Current Training Data Per Class: 110
Runner Episode: 22	Loss: 0.548762	Accuracy: 0.820 	 Current Training Data Per Class: 110
Runner Episode: 23	Loss: 0.603670	Accuracy: 0.800 	 Current Training Data Per Class: 110
Runner Episode: 24	Loss: 0.789599	Accuracy: 0.690 	 Current Training Data Per Class: 110
Runner Episode: 25	Loss: 0.578890	Accuracy: 0.820 	 Current Training Data Per Class: 110
Runner Episode: 26	Loss: 0.882322	Accuracy: 0.700 	 Current Training Data Per Class: 110
Runner Episode: 27	Loss: 0.717141	Accuracy: 0.720 	 Current Training Data Per Class: 110
Runner Episode: 28	Loss: 0.452987	Accuracy: 0.840 	 Current Training Data Per Class: 110
Runner Episode: 29	Loss: 0.554442	Accuracy: 0.790 	 Current Training Data Per Class: 110
Runner Episode: 30	Loss: 0.591564	Accuracy: 0.790 	 Current Training Data Per Class: 110
Runner Episode: 31	Loss: 0.467374	Accuracy: 0.840 	 Current Training Data Per Class: 110
Runner Episode: 32	Loss: 0.505016	Accuracy: 0.830 	 Current Training Data Per Class: 110
Runner Episode: 33	Loss: 0.569617	Accuracy: 0.800 	 Current Training Data Per Class: 110
Runner Episode: 34	Loss: 0.500557	Accuracy: 0.830 	 Current Training Data Per Class: 110
Runner Episode: 35	Loss: 0.362532	Accuracy: 0.890 	 Current Training Data Per Class: 110
Runner Episode: 36	Loss: 0.715091	Accuracy: 0.710 	 Current Training Data Per Class: 110
Runner Episode: 37	Loss: 0.681442	Accuracy: 0.750 	 Current Training Data Per Class: 110
Runner Episode: 38	Loss: 0.614509	Accuracy: 0.750 	 Current Training Data Per Class: 110
Runner Episode: 39	Loss: 0.664540	Accuracy: 0.700 	 Current Training Data Per Class: 110
Runner Episode: 40	Loss: 0.471298	Accuracy: 0.810 	 Current Training Data Per Class: 110
Runner Episode: 41	Loss: 0.391279	Accuracy: 0.880 	 Current Training Data Per Class: 110
Runner Episode: 42	Loss: 0.585718	Accuracy: 0.830 	 Current Training Data Per Class: 110
Runner Episode: 43	Loss: 0.532211	Accuracy: 0.830 	 Current Training Data Per Class: 110
Runner Episode: 44	Loss: 0.770792	Accuracy: 0.680 	 Current Training Data Per Class: 110
Runner Episode: 45	Loss: 0.474791	Accuracy: 0.850 	 Current Training Data Per Class: 110
Runner Episode: 46	Loss: 0.519729	Accuracy: 0.860 	 Current Training Data Per Class: 110
Runner Episode: 47	Loss: 0.889888	Accuracy: 0.640 	 Current Training Data Per Class: 110
Runner Episode: 48	Loss: 0.279654	Accuracy: 0.920 	 Current Training Data Per Class: 110
Runner Episode: 49	Loss: 0.452570	Accuracy: 0.870 	 Current Training Data Per Class: 110
Runner Episode: 50	Loss: 0.376940	Accuracy: 0.900 	 Current Training Data Per Class: 110
Runner Episode: 51	Loss: 0.643875	Accuracy: 0.790 	 Current Training Data Per Class: 110
Runner Episode: 52	Loss: 0.543196	Accuracy: 0.840 	 Current Training Data Per Class: 110
Runner Episode: 53	Loss: 0.849948	Accuracy: 0.680 	 Current Training Data Per Class: 110
Runner Episode: 54	Loss: 0.480540	Accuracy: 0.850 	 Current Training Data Per Class: 110
Runner Episode: 55	Loss: 1.100065	Accuracy: 0.670 	 Current Training Data Per Class: 110
Runner Episode: 56	Loss: 0.665524	Accuracy: 0.740 	 Current Training Data Per Class: 110
Runner Episode: 57	Loss: 0.392322	Accuracy: 0.830 	 Current Training Data Per Class: 110
Runner Episode: 58	Loss: 0.770224	Accuracy: 0.710 	 Current Training Data Per Class: 110
Runner Episode: 59	Loss: 0.737886	Accuracy: 0.740 	 Current Training Data Per Class: 110
Runner Episode: 60	Loss: 0.856888	Accuracy: 0.710 	 Current Training Data Per Class: 110
Runner Episode: 61	Loss: 0.859592	Accuracy: 0.680 	 Current Training Data Per Class: 110
Runner Episode: 62	Loss: 0.588765	Accuracy: 0.780 	 Current Training Data Per Class: 110
Runner Episode: 63	Loss: 0.800136	Accuracy: 0.720 	 Current Training Data Per Class: 110
Runner Episode: 64	Loss: 0.796977	Accuracy: 0.730 	 Current Training Data Per Class: 110
Runner Episode: 65	Loss: 0.737433	Accuracy: 0.700 	 Current Training Data Per Class: 110
Runner Episode: 66	Loss: 0.646111	Accuracy: 0.780 	 Current Training Data Per Class: 110
Runner Episode: 67	Loss: 0.819667	Accuracy: 0.740 	 Current Training Data Per Class: 110
Runner Episode: 68	Loss: 0.724997	Accuracy: 0.680 	 Current Training Data Per Class: 110
Runner Episode: 69	Loss: 0.527987	Accuracy: 0.810 	 Current Training Data Per Class: 110
