Runner Episode: 1	Loss: 0.409205	Accuracy: 0.890 	 Current Training Data Per Class: 170
Runner Episode: 2	Loss: 0.829290	Accuracy: 0.750 	 Current Training Data Per Class: 170
Runner Episode: 3	Loss: 0.437834	Accuracy: 0.860 	 Current Training Data Per Class: 170
Runner Episode: 4	Loss: 1.097188	Accuracy: 0.710 	 Current Training Data Per Class: 170
Runner Episode: 5	Loss: 0.344427	Accuracy: 0.930 	 Current Training Data Per Class: 170
Runner Episode: 6	Loss: 1.170487	Accuracy: 0.690 	 Current Training Data Per Class: 170
Runner Episode: 7	Loss: 0.512126	Accuracy: 0.840 	 Current Training Data Per Class: 170
Runner Episode: 8	Loss: 0.373788	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 9	Loss: 0.337678	Accuracy: 0.910 	 Current Training Data Per Class: 170
Runner Episode: 10	Loss: 0.509815	Accuracy: 0.840 	 Current Training Data Per Class: 170
Runner Episode: 11	Loss: 0.377154	Accuracy: 0.870 	 Current Training Data Per Class: 170
Runner Episode: 12	Loss: 0.643900	Accuracy: 0.790 	 Current Training Data Per Class: 170
Runner Episode: 13	Loss: 0.307395	Accuracy: 0.920 	 Current Training Data Per Class: 170
Runner Episode: 14	Loss: 0.344952	Accuracy: 0.920 	 Current Training Data Per Class: 170
Runner Episode: 15	Loss: 0.476957	Accuracy: 0.890 	 Current Training Data Per Class: 170
Runner Episode: 16	Loss: 1.196158	Accuracy: 0.760 	 Current Training Data Per Class: 170
Runner Episode: 17	Loss: 0.134856	Accuracy: 0.940 	 Current Training Data Per Class: 170
Runner Episode: 18	Loss: 0.557260	Accuracy: 0.820 	 Current Training Data Per Class: 170
Runner Episode: 19	Loss: 0.744640	Accuracy: 0.790 	 Current Training Data Per Class: 170
Runner Episode: 20	Loss: 0.960793	Accuracy: 0.780 	 Current Training Data Per Class: 170
Runner Episode: 21	Loss: 0.253428	Accuracy: 0.930 	 Current Training Data Per Class: 170
Runner Episode: 22	Loss: 0.435216	Accuracy: 0.880 	 Current Training Data Per Class: 170
Runner Episode: 23	Loss: 0.650284	Accuracy: 0.830 	 Current Training Data Per Class: 170
Runner Episode: 24	Loss: 0.834222	Accuracy: 0.790 	 Current Training Data Per Class: 170
Runner Episode: 25	Loss: 0.224646	Accuracy: 0.930 	 Current Training Data Per Class: 170
Runner Episode: 26	Loss: 0.941066	Accuracy: 0.800 	 Current Training Data Per Class: 170
Runner Episode: 27	Loss: 0.470324	Accuracy: 0.860 	 Current Training Data Per Class: 170
Runner Episode: 28	Loss: 0.222954	Accuracy: 0.950 	 Current Training Data Per Class: 170
Runner Episode: 29	Loss: 0.196706	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 30	Loss: 0.332784	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 31	Loss: 1.206923	Accuracy: 0.730 	 Current Training Data Per Class: 170
Runner Episode: 32	Loss: 0.690686	Accuracy: 0.800 	 Current Training Data Per Class: 170
Runner Episode: 33	Loss: 0.783956	Accuracy: 0.800 	 Current Training Data Per Class: 170
Runner Episode: 34	Loss: 0.423327	Accuracy: 0.840 	 Current Training Data Per Class: 170
Runner Episode: 35	Loss: 0.306592	Accuracy: 0.880 	 Current Training Data Per Class: 170
Runner Episode: 36	Loss: 0.968875	Accuracy: 0.720 	 Current Training Data Per Class: 170
Runner Episode: 37	Loss: 0.557494	Accuracy: 0.820 	 Current Training Data Per Class: 170
Runner Episode: 38	Loss: 0.502643	Accuracy: 0.860 	 Current Training Data Per Class: 170
Runner Episode: 39	Loss: 0.587493	Accuracy: 0.780 	 Current Training Data Per Class: 170
Runner Episode: 40	Loss: 0.278735	Accuracy: 0.890 	 Current Training Data Per Class: 170
Runner Episode: 41	Loss: 0.502412	Accuracy: 0.840 	 Current Training Data Per Class: 170
Runner Episode: 42	Loss: 0.508796	Accuracy: 0.830 	 Current Training Data Per Class: 170
Runner Episode: 43	Loss: 0.276412	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 44	Loss: 0.402785	Accuracy: 0.860 	 Current Training Data Per Class: 170
Runner Episode: 45	Loss: 0.846521	Accuracy: 0.780 	 Current Training Data Per Class: 170
Runner Episode: 46	Loss: 1.376439	Accuracy: 0.660 	 Current Training Data Per Class: 170
Runner Episode: 47	Loss: 0.798750	Accuracy: 0.760 	 Current Training Data Per Class: 170
Runner Episode: 48	Loss: 0.442908	Accuracy: 0.890 	 Current Training Data Per Class: 170
Runner Episode: 49	Loss: 0.232123	Accuracy: 0.910 	 Current Training Data Per Class: 170
Runner Episode: 50	Loss: 0.789121	Accuracy: 0.790 	 Current Training Data Per Class: 170
Runner Episode: 51	Loss: 0.515792	Accuracy: 0.880 	 Current Training Data Per Class: 170
Runner Episode: 52	Loss: 0.281232	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 53	Loss: 0.879986	Accuracy: 0.720 	 Current Training Data Per Class: 170
Runner Episode: 54	Loss: 0.476120	Accuracy: 0.880 	 Current Training Data Per Class: 170
Runner Episode: 55	Loss: 0.390044	Accuracy: 0.870 	 Current Training Data Per Class: 170
Runner Episode: 56	Loss: 0.733142	Accuracy: 0.780 	 Current Training Data Per Class: 170
Runner Episode: 57	Loss: 0.158750	Accuracy: 0.960 	 Current Training Data Per Class: 170
Runner Episode: 58	Loss: 0.669915	Accuracy: 0.780 	 Current Training Data Per Class: 170
Runner Episode: 59	Loss: 0.113669	Accuracy: 0.970 	 Current Training Data Per Class: 170
Runner Episode: 60	Loss: 1.309552	Accuracy: 0.700 	 Current Training Data Per Class: 170
Runner Episode: 61	Loss: 0.922594	Accuracy: 0.740 	 Current Training Data Per Class: 170
Runner Episode: 62	Loss: 0.569612	Accuracy: 0.820 	 Current Training Data Per Class: 170
Runner Episode: 63	Loss: 0.274938	Accuracy: 0.930 	 Current Training Data Per Class: 170
Runner Episode: 64	Loss: 0.604280	Accuracy: 0.740 	 Current Training Data Per Class: 170
Runner Episode: 65	Loss: 0.715813	Accuracy: 0.720 	 Current Training Data Per Class: 170
Runner Episode: 66	Loss: 0.797727	Accuracy: 0.780 	 Current Training Data Per Class: 170
Runner Episode: 67	Loss: 0.327791	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 68	Loss: 0.223304	Accuracy: 0.910 	 Current Training Data Per Class: 170
Runner Episode: 69	Loss: 0.546324	Accuracy: 0.820 	 Current Training Data Per Class: 170
Runner Episode: 70	Loss: 0.175816	Accuracy: 0.910 	 Current Training Data Per Class: 170
Runner Episode: 71	Loss: 0.355777	Accuracy: 0.890 	 Current Training Data Per Class: 170
Runner Episode: 72	Loss: 0.491588	Accuracy: 0.860 	 Current Training Data Per Class: 170
Runner Episode: 73	Loss: 0.813374	Accuracy: 0.760 	 Current Training Data Per Class: 170
Runner Episode: 74	Loss: 0.370424	Accuracy: 0.880 	 Current Training Data Per Class: 170
Runner Episode: 75	Loss: 1.192459	Accuracy: 0.760 	 Current Training Data Per Class: 170
Runner Episode: 76	Loss: 0.523418	Accuracy: 0.840 	 Current Training Data Per Class: 170
Runner Episode: 77	Loss: 0.204493	Accuracy: 0.920 	 Current Training Data Per Class: 170
Runner Episode: 78	Loss: 0.739986	Accuracy: 0.800 	 Current Training Data Per Class: 170
Runner Episode: 79	Loss: 0.917284	Accuracy: 0.720 	 Current Training Data Per Class: 170
Runner Episode: 80	Loss: 0.156979	Accuracy: 0.950 	 Current Training Data Per Class: 170
Runner Episode: 81	Loss: 0.588659	Accuracy: 0.800 	 Current Training Data Per Class: 170
Runner Episode: 82	Loss: 0.711913	Accuracy: 0.820 	 Current Training Data Per Class: 170
Runner Episode: 83	Loss: 0.382255	Accuracy: 0.890 	 Current Training Data Per Class: 170
Runner Episode: 84	Loss: 0.437348	Accuracy: 0.840 	 Current Training Data Per Class: 170
Runner Episode: 85	Loss: 0.499905	Accuracy: 0.840 	 Current Training Data Per Class: 170
Runner Episode: 86	Loss: 0.573266	Accuracy: 0.840 	 Current Training Data Per Class: 170
Runner Episode: 87	Loss: 0.407930	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 88	Loss: 0.375227	Accuracy: 0.880 	 Current Training Data Per Class: 170
Runner Episode: 89	Loss: 0.362378	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 90	Loss: 0.548740	Accuracy: 0.810 	 Current Training Data Per Class: 170
Runner Episode: 91	Loss: 0.402168	Accuracy: 0.890 	 Current Training Data Per Class: 170
Runner Episode: 92	Loss: 0.581516	Accuracy: 0.790 	 Current Training Data Per Class: 170
Runner Episode: 93	Loss: 0.599286	Accuracy: 0.840 	 Current Training Data Per Class: 170
Runner Episode: 94	Loss: 0.842373	Accuracy: 0.780 	 Current Training Data Per Class: 170
Runner Episode: 95	Loss: 0.578983	Accuracy: 0.850 	 Current Training Data Per Class: 170
Runner Episode: 96	Loss: 0.218640	Accuracy: 0.930 	 Current Training Data Per Class: 170
Runner Episode: 97	Loss: 0.157973	Accuracy: 0.970 	 Current Training Data Per Class: 170
Runner Episode: 98	Loss: 1.509883	Accuracy: 0.590 	 Current Training Data Per Class: 170
Runner Episode: 99	Loss: 0.270789	Accuracy: 0.920 	 Current Training Data Per Class: 170
Runner Episode: 100	Loss: 0.608539	Accuracy: 0.840 	 Current Training Data Per Class: 170
