Runner Episode: 1	Loss: 0.838181	Accuracy: 0.720 	 Current Training Data Per Class: 80
Runner Episode: 2	Loss: 0.660318	Accuracy: 0.780 	 Current Training Data Per Class: 80
Runner Episode: 3	Loss: 0.387590	Accuracy: 0.920 	 Current Training Data Per Class: 80
Runner Episode: 4	Loss: 0.719810	Accuracy: 0.770 	 Current Training Data Per Class: 80
Runner Episode: 5	Loss: 0.769473	Accuracy: 0.740 	 Current Training Data Per Class: 80
Runner Episode: 6	Loss: 0.535851	Accuracy: 0.870 	 Current Training Data Per Class: 80
Runner Episode: 7	Loss: 0.578881	Accuracy: 0.850 	 Current Training Data Per Class: 80
Runner Episode: 8	Loss: 0.491719	Accuracy: 0.870 	 Current Training Data Per Class: 80
Runner Episode: 9	Loss: 1.101997	Accuracy: 0.660 	 Current Training Data Per Class: 80
Runner Episode: 10	Loss: 0.397209	Accuracy: 0.810 	 Current Training Data Per Class: 80
Runner Episode: 11	Loss: 0.574417	Accuracy: 0.810 	 Current Training Data Per Class: 80
Runner Episode: 12	Loss: 0.282437	Accuracy: 0.890 	 Current Training Data Per Class: 80
Runner Episode: 13	Loss: 0.268101	Accuracy: 0.920 	 Current Training Data Per Class: 80
Runner Episode: 14	Loss: 0.873650	Accuracy: 0.650 	 Current Training Data Per Class: 80
Runner Episode: 15	Loss: 0.484926	Accuracy: 0.800 	 Current Training Data Per Class: 80
Runner Episode: 16	Loss: 0.796573	Accuracy: 0.740 	 Current Training Data Per Class: 80
Runner Episode: 17	Loss: 0.159685	Accuracy: 0.960 	 Current Training Data Per Class: 80
Runner Episode: 18	Loss: 0.613026	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 19	Loss: 0.697401	Accuracy: 0.780 	 Current Training Data Per Class: 80
Runner Episode: 20	Loss: 0.666881	Accuracy: 0.790 	 Current Training Data Per Class: 80
Runner Episode: 21	Loss: 1.023577	Accuracy: 0.650 	 Current Training Data Per Class: 80
Runner Episode: 22	Loss: 0.747934	Accuracy: 0.710 	 Current Training Data Per Class: 80
Runner Episode: 23	Loss: 0.509749	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 24	Loss: 0.730726	Accuracy: 0.810 	 Current Training Data Per Class: 80
Runner Episode: 25	Loss: 1.024932	Accuracy: 0.660 	 Current Training Data Per Class: 80
Runner Episode: 26	Loss: 0.737120	Accuracy: 0.740 	 Current Training Data Per Class: 80
Runner Episode: 27	Loss: 0.906320	Accuracy: 0.720 	 Current Training Data Per Class: 80
Runner Episode: 28	Loss: 0.702945	Accuracy: 0.770 	 Current Training Data Per Class: 80
Runner Episode: 29	Loss: 0.553873	Accuracy: 0.750 	 Current Training Data Per Class: 80
Runner Episode: 30	Loss: 0.408938	Accuracy: 0.870 	 Current Training Data Per Class: 80
Runner Episode: 31	Loss: 0.714101	Accuracy: 0.750 	 Current Training Data Per Class: 80
Runner Episode: 32	Loss: 0.236971	Accuracy: 0.930 	 Current Training Data Per Class: 80
Runner Episode: 33	Loss: 0.546699	Accuracy: 0.800 	 Current Training Data Per Class: 80
Runner Episode: 34	Loss: 0.481634	Accuracy: 0.860 	 Current Training Data Per Class: 80
Runner Episode: 35	Loss: 0.418442	Accuracy: 0.820 	 Current Training Data Per Class: 80
Runner Episode: 36	Loss: 0.781569	Accuracy: 0.700 	 Current Training Data Per Class: 80
Runner Episode: 37	Loss: 0.829017	Accuracy: 0.770 	 Current Training Data Per Class: 80
Runner Episode: 38	Loss: 0.891724	Accuracy: 0.650 	 Current Training Data Per Class: 80
Runner Episode: 39	Loss: 0.682228	Accuracy: 0.750 	 Current Training Data Per Class: 80
Runner Episode: 40	Loss: 0.476242	Accuracy: 0.820 	 Current Training Data Per Class: 80
Runner Episode: 41	Loss: 0.698239	Accuracy: 0.770 	 Current Training Data Per Class: 80
Runner Episode: 42	Loss: 0.567594	Accuracy: 0.790 	 Current Training Data Per Class: 80
Runner Episode: 43	Loss: 0.858072	Accuracy: 0.680 	 Current Training Data Per Class: 80
Runner Episode: 44	Loss: 0.852152	Accuracy: 0.750 	 Current Training Data Per Class: 80
Runner Episode: 45	Loss: 0.591460	Accuracy: 0.770 	 Current Training Data Per Class: 80
Runner Episode: 46	Loss: 0.454477	Accuracy: 0.850 	 Current Training Data Per Class: 80
Runner Episode: 47	Loss: 0.991720	Accuracy: 0.680 	 Current Training Data Per Class: 80
Runner Episode: 48	Loss: 0.280239	Accuracy: 0.900 	 Current Training Data Per Class: 80
Runner Episode: 49	Loss: 0.569186	Accuracy: 0.850 	 Current Training Data Per Class: 80
Runner Episode: 50	Loss: 0.770638	Accuracy: 0.750 	 Current Training Data Per Class: 80
