Runner Episode: 1	Loss: 13.542371	Accuracy: 0.370 	 Current Training Data Per Class: 225
Runner Episode: 2	Loss: 13.547791	Accuracy: 0.370 	 Current Training Data Per Class: 225
Runner Episode: 3	Loss: 19.796795	Accuracy: 0.340 	 Current Training Data Per Class: 225
Runner Episode: 4	Loss: 16.254856	Accuracy: 0.340 	 Current Training Data Per Class: 225
Runner Episode: 5	Loss: 11.957885	Accuracy: 0.420 	 Current Training Data Per Class: 225
Runner Episode: 6	Loss: 12.938595	Accuracy: 0.395 	 Current Training Data Per Class: 225
Runner Episode: 7	Loss: 11.954415	Accuracy: 0.400 	 Current Training Data Per Class: 225
Runner Episode: 8	Loss: 13.303413	Accuracy: 0.385 	 Current Training Data Per Class: 225
Runner Episode: 9	Loss: 16.564358	Accuracy: 0.320 	 Current Training Data Per Class: 225
Runner Episode: 10	Loss: 11.302260	Accuracy: 0.360 	 Current Training Data Per Class: 225
Runner Episode: 11	Loss: 13.787602	Accuracy: 0.375 	 Current Training Data Per Class: 225
Runner Episode: 12	Loss: 12.879475	Accuracy: 0.385 	 Current Training Data Per Class: 225
Runner Episode: 13	Loss: 12.389955	Accuracy: 0.285 	 Current Training Data Per Class: 225
Runner Episode: 14	Loss: 11.788887	Accuracy: 0.415 	 Current Training Data Per Class: 225
Runner Episode: 15	Loss: 11.004433	Accuracy: 0.410 	 Current Training Data Per Class: 225
Runner Episode: 16	Loss: 13.199739	Accuracy: 0.385 	 Current Training Data Per Class: 225
Runner Episode: 17	Loss: 14.606384	Accuracy: 0.345 	 Current Training Data Per Class: 225
Runner Episode: 18	Loss: 11.474509	Accuracy: 0.385 	 Current Training Data Per Class: 225
Runner Episode: 19	Loss: 12.090410	Accuracy: 0.400 	 Current Training Data Per Class: 225
Runner Episode: 20	Loss: 14.268366	Accuracy: 0.390 	 Current Training Data Per Class: 225
Runner Episode: 21	Loss: 16.112646	Accuracy: 0.340 	 Current Training Data Per Class: 225
Runner Episode: 22	Loss: 16.290543	Accuracy: 0.345 	 Current Training Data Per Class: 225
Runner Episode: 23	Loss: 12.436399	Accuracy: 0.475 	 Current Training Data Per Class: 225
Runner Episode: 24	Loss: 11.236536	Accuracy: 0.395 	 Current Training Data Per Class: 225
Runner Episode: 25	Loss: 13.727548	Accuracy: 0.390 	 Current Training Data Per Class: 225
Runner Episode: 26	Loss: 12.097717	Accuracy: 0.405 	 Current Training Data Per Class: 225
Runner Episode: 27	Loss: 11.024372	Accuracy: 0.370 	 Current Training Data Per Class: 225
Runner Episode: 28	Loss: 10.738736	Accuracy: 0.380 	 Current Training Data Per Class: 225
Runner Episode: 29	Loss: 12.680844	Accuracy: 0.425 	 Current Training Data Per Class: 225
Runner Episode: 30	Loss: 14.655355	Accuracy: 0.385 	 Current Training Data Per Class: 225
Runner Episode: 31	Loss: 16.913599	Accuracy: 0.310 	 Current Training Data Per Class: 225
Runner Episode: 32	Loss: 11.922310	Accuracy: 0.475 	 Current Training Data Per Class: 225
Runner Episode: 33	Loss: 11.987460	Accuracy: 0.365 	 Current Training Data Per Class: 225
Runner Episode: 34	Loss: 14.505381	Accuracy: 0.385 	 Current Training Data Per Class: 225
Runner Episode: 35	Loss: 11.603456	Accuracy: 0.410 	 Current Training Data Per Class: 225
Runner Episode: 36	Loss: 13.373501	Accuracy: 0.375 	 Current Training Data Per Class: 225
Runner Episode: 37	Loss: 14.078158	Accuracy: 0.365 	 Current Training Data Per Class: 225
Runner Episode: 38	Loss: 15.226930	Accuracy: 0.395 	 Current Training Data Per Class: 225
Runner Episode: 39	Loss: 14.134618	Accuracy: 0.330 	 Current Training Data Per Class: 225
Runner Episode: 40	Loss: 12.461559	Accuracy: 0.405 	 Current Training Data Per Class: 225
Runner Episode: 41	Loss: 12.182335	Accuracy: 0.360 	 Current Training Data Per Class: 225
Runner Episode: 42	Loss: 12.978527	Accuracy: 0.370 	 Current Training Data Per Class: 225
Runner Episode: 43	Loss: 15.284632	Accuracy: 0.385 	 Current Training Data Per Class: 225
Runner Episode: 44	Loss: 13.813193	Accuracy: 0.380 	 Current Training Data Per Class: 225
Runner Episode: 45	Loss: 12.917323	Accuracy: 0.355 	 Current Training Data Per Class: 225
Runner Episode: 46	Loss: 13.776611	Accuracy: 0.415 	 Current Training Data Per Class: 225
Runner Episode: 47	Loss: 11.630959	Accuracy: 0.490 	 Current Training Data Per Class: 225
Runner Episode: 48	Loss: 10.586118	Accuracy: 0.390 	 Current Training Data Per Class: 225
Runner Episode: 49	Loss: 13.237700	Accuracy: 0.380 	 Current Training Data Per Class: 225
Runner Episode: 50	Loss: 11.267825	Accuracy: 0.360 	 Current Training Data Per Class: 225
