Runner Episode: 1	Loss: 0.834861	Accuracy: 0.750 	 Current Training Data Per Class: 140
Runner Episode: 2	Loss: 0.556587	Accuracy: 0.820 	 Current Training Data Per Class: 140
Runner Episode: 3	Loss: 0.259033	Accuracy: 0.930 	 Current Training Data Per Class: 140
Runner Episode: 4	Loss: 0.814395	Accuracy: 0.790 	 Current Training Data Per Class: 140
Runner Episode: 5	Loss: 0.764409	Accuracy: 0.770 	 Current Training Data Per Class: 140
Runner Episode: 6	Loss: 0.498183	Accuracy: 0.860 	 Current Training Data Per Class: 140
Runner Episode: 7	Loss: 0.317462	Accuracy: 0.870 	 Current Training Data Per Class: 140
Runner Episode: 8	Loss: 0.390918	Accuracy: 0.890 	 Current Training Data Per Class: 140
Runner Episode: 9	Loss: 0.526138	Accuracy: 0.790 	 Current Training Data Per Class: 140
Runner Episode: 10	Loss: 0.561036	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 11	Loss: 0.703861	Accuracy: 0.720 	 Current Training Data Per Class: 140
Runner Episode: 12	Loss: 0.451400	Accuracy: 0.850 	 Current Training Data Per Class: 140
Runner Episode: 13	Loss: 0.615328	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 14	Loss: 0.450564	Accuracy: 0.850 	 Current Training Data Per Class: 140
Runner Episode: 15	Loss: 0.519249	Accuracy: 0.820 	 Current Training Data Per Class: 140
Runner Episode: 16	Loss: 0.383633	Accuracy: 0.870 	 Current Training Data Per Class: 140
Runner Episode: 17	Loss: 0.519106	Accuracy: 0.810 	 Current Training Data Per Class: 140
Runner Episode: 18	Loss: 0.897075	Accuracy: 0.670 	 Current Training Data Per Class: 140
Runner Episode: 19	Loss: 0.539515	Accuracy: 0.860 	 Current Training Data Per Class: 140
Runner Episode: 20	Loss: 0.717755	Accuracy: 0.810 	 Current Training Data Per Class: 140
Runner Episode: 21	Loss: 0.680336	Accuracy: 0.700 	 Current Training Data Per Class: 140
Runner Episode: 22	Loss: 1.095577	Accuracy: 0.650 	 Current Training Data Per Class: 140
Runner Episode: 23	Loss: 0.654995	Accuracy: 0.830 	 Current Training Data Per Class: 140
Runner Episode: 24	Loss: 0.446361	Accuracy: 0.830 	 Current Training Data Per Class: 140
Runner Episode: 25	Loss: 0.741593	Accuracy: 0.730 	 Current Training Data Per Class: 140
Runner Episode: 26	Loss: 0.648501	Accuracy: 0.780 	 Current Training Data Per Class: 140
Runner Episode: 27	Loss: 0.655150	Accuracy: 0.780 	 Current Training Data Per Class: 140
Runner Episode: 28	Loss: 0.662867	Accuracy: 0.830 	 Current Training Data Per Class: 140
Runner Episode: 29	Loss: 1.027354	Accuracy: 0.660 	 Current Training Data Per Class: 140
Runner Episode: 30	Loss: 0.399996	Accuracy: 0.870 	 Current Training Data Per Class: 140
Runner Episode: 31	Loss: 0.370497	Accuracy: 0.900 	 Current Training Data Per Class: 140
Runner Episode: 32	Loss: 0.537589	Accuracy: 0.870 	 Current Training Data Per Class: 140
Runner Episode: 33	Loss: 0.598146	Accuracy: 0.780 	 Current Training Data Per Class: 140
Runner Episode: 34	Loss: 0.410413	Accuracy: 0.860 	 Current Training Data Per Class: 140
Runner Episode: 35	Loss: 0.410574	Accuracy: 0.850 	 Current Training Data Per Class: 140
Runner Episode: 36	Loss: 0.593575	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 37	Loss: 0.705879	Accuracy: 0.730 	 Current Training Data Per Class: 140
Runner Episode: 38	Loss: 0.833337	Accuracy: 0.720 	 Current Training Data Per Class: 140
Runner Episode: 39	Loss: 0.566155	Accuracy: 0.830 	 Current Training Data Per Class: 140
Runner Episode: 40	Loss: 0.489561	Accuracy: 0.830 	 Current Training Data Per Class: 140
Runner Episode: 41	Loss: 0.794117	Accuracy: 0.720 	 Current Training Data Per Class: 140
Runner Episode: 42	Loss: 0.505059	Accuracy: 0.820 	 Current Training Data Per Class: 140
Runner Episode: 43	Loss: 0.967366	Accuracy: 0.680 	 Current Training Data Per Class: 140
Runner Episode: 44	Loss: 0.816012	Accuracy: 0.780 	 Current Training Data Per Class: 140
Runner Episode: 45	Loss: 0.956690	Accuracy: 0.670 	 Current Training Data Per Class: 140
Runner Episode: 46	Loss: 0.316102	Accuracy: 0.890 	 Current Training Data Per Class: 140
Runner Episode: 47	Loss: 0.569668	Accuracy: 0.850 	 Current Training Data Per Class: 140
Runner Episode: 48	Loss: 0.280637	Accuracy: 0.900 	 Current Training Data Per Class: 140
Runner Episode: 49	Loss: 0.814194	Accuracy: 0.760 	 Current Training Data Per Class: 140
Runner Episode: 50	Loss: 0.702585	Accuracy: 0.700 	 Current Training Data Per Class: 140
