Runner Episode: 1	Loss: 0.677675	Accuracy: 0.790 	 Current Training Data Per Class: 90
Runner Episode: 2	Loss: 0.745299	Accuracy: 0.710 	 Current Training Data Per Class: 90
Runner Episode: 3	Loss: 0.362686	Accuracy: 0.920 	 Current Training Data Per Class: 90
Runner Episode: 4	Loss: 0.586862	Accuracy: 0.790 	 Current Training Data Per Class: 90
Runner Episode: 5	Loss: 0.777956	Accuracy: 0.680 	 Current Training Data Per Class: 90
Runner Episode: 6	Loss: 0.769246	Accuracy: 0.800 	 Current Training Data Per Class: 90
Runner Episode: 7	Loss: 0.309077	Accuracy: 0.910 	 Current Training Data Per Class: 90
Runner Episode: 8	Loss: 0.307864	Accuracy: 0.910 	 Current Training Data Per Class: 90
Runner Episode: 9	Loss: 0.730769	Accuracy: 0.810 	 Current Training Data Per Class: 90
Runner Episode: 10	Loss: 0.566648	Accuracy: 0.760 	 Current Training Data Per Class: 90
Runner Episode: 11	Loss: 0.871784	Accuracy: 0.690 	 Current Training Data Per Class: 90
Runner Episode: 12	Loss: 0.329436	Accuracy: 0.910 	 Current Training Data Per Class: 90
Runner Episode: 13	Loss: 0.418695	Accuracy: 0.860 	 Current Training Data Per Class: 90
Runner Episode: 14	Loss: 0.647818	Accuracy: 0.790 	 Current Training Data Per Class: 90
Runner Episode: 15	Loss: 0.540698	Accuracy: 0.880 	 Current Training Data Per Class: 90
Runner Episode: 16	Loss: 0.502400	Accuracy: 0.870 	 Current Training Data Per Class: 90
Runner Episode: 17	Loss: 0.413939	Accuracy: 0.880 	 Current Training Data Per Class: 90
Runner Episode: 18	Loss: 0.489465	Accuracy: 0.810 	 Current Training Data Per Class: 90
Runner Episode: 19	Loss: 0.558404	Accuracy: 0.850 	 Current Training Data Per Class: 90
Runner Episode: 20	Loss: 0.539594	Accuracy: 0.830 	 Current Training Data Per Class: 90
Runner Episode: 21	Loss: 0.937318	Accuracy: 0.710 	 Current Training Data Per Class: 90
Runner Episode: 22	Loss: 1.463392	Accuracy: 0.620 	 Current Training Data Per Class: 90
Runner Episode: 23	Loss: 0.421676	Accuracy: 0.870 	 Current Training Data Per Class: 90
Runner Episode: 24	Loss: 0.693944	Accuracy: 0.760 	 Current Training Data Per Class: 90
Runner Episode: 25	Loss: 1.026001	Accuracy: 0.680 	 Current Training Data Per Class: 90
Runner Episode: 26	Loss: 0.779083	Accuracy: 0.830 	 Current Training Data Per Class: 90
Runner Episode: 27	Loss: 0.905533	Accuracy: 0.760 	 Current Training Data Per Class: 90
Runner Episode: 28	Loss: 0.730038	Accuracy: 0.750 	 Current Training Data Per Class: 90
Runner Episode: 29	Loss: 0.489271	Accuracy: 0.830 	 Current Training Data Per Class: 90
Runner Episode: 30	Loss: 0.293599	Accuracy: 0.910 	 Current Training Data Per Class: 90
Runner Episode: 31	Loss: 0.575068	Accuracy: 0.810 	 Current Training Data Per Class: 90
Runner Episode: 32	Loss: 0.326033	Accuracy: 0.880 	 Current Training Data Per Class: 90
Runner Episode: 33	Loss: 0.649660	Accuracy: 0.780 	 Current Training Data Per Class: 90
Runner Episode: 34	Loss: 0.490518	Accuracy: 0.880 	 Current Training Data Per Class: 90
Runner Episode: 35	Loss: 0.447551	Accuracy: 0.820 	 Current Training Data Per Class: 90
Runner Episode: 36	Loss: 0.661909	Accuracy: 0.800 	 Current Training Data Per Class: 90
Runner Episode: 37	Loss: 0.790178	Accuracy: 0.740 	 Current Training Data Per Class: 90
Runner Episode: 38	Loss: 0.654041	Accuracy: 0.820 	 Current Training Data Per Class: 90
Runner Episode: 39	Loss: 0.597606	Accuracy: 0.850 	 Current Training Data Per Class: 90
Runner Episode: 40	Loss: 0.521223	Accuracy: 0.830 	 Current Training Data Per Class: 90
Runner Episode: 41	Loss: 0.962640	Accuracy: 0.720 	 Current Training Data Per Class: 90
Runner Episode: 42	Loss: 0.489403	Accuracy: 0.850 	 Current Training Data Per Class: 90
Runner Episode: 43	Loss: 0.850429	Accuracy: 0.790 	 Current Training Data Per Class: 90
Runner Episode: 44	Loss: 0.986445	Accuracy: 0.680 	 Current Training Data Per Class: 90
Runner Episode: 45	Loss: 0.755815	Accuracy: 0.760 	 Current Training Data Per Class: 90
Runner Episode: 46	Loss: 0.445470	Accuracy: 0.860 	 Current Training Data Per Class: 90
Runner Episode: 47	Loss: 0.610538	Accuracy: 0.880 	 Current Training Data Per Class: 90
Runner Episode: 48	Loss: 0.717102	Accuracy: 0.820 	 Current Training Data Per Class: 90
Runner Episode: 49	Loss: 0.278000	Accuracy: 0.960 	 Current Training Data Per Class: 90
Runner Episode: 50	Loss: 1.265929	Accuracy: 0.640 	 Current Training Data Per Class: 90
