Runner Episode: 1	Loss: 0.611505	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 2	Loss: 0.499987	Accuracy: 0.820 	 Current Training Data Per Class: 80
Runner Episode: 3	Loss: 0.431829	Accuracy: 0.880 	 Current Training Data Per Class: 80
Runner Episode: 4	Loss: 0.803565	Accuracy: 0.780 	 Current Training Data Per Class: 80
Runner Episode: 5	Loss: 0.702713	Accuracy: 0.700 	 Current Training Data Per Class: 80
Runner Episode: 6	Loss: 0.634708	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 7	Loss: 0.392140	Accuracy: 0.870 	 Current Training Data Per Class: 80
Runner Episode: 8	Loss: 0.320698	Accuracy: 0.890 	 Current Training Data Per Class: 80
Runner Episode: 9	Loss: 0.992130	Accuracy: 0.690 	 Current Training Data Per Class: 80
Runner Episode: 10	Loss: 0.436064	Accuracy: 0.850 	 Current Training Data Per Class: 80
Runner Episode: 11	Loss: 0.621105	Accuracy: 0.800 	 Current Training Data Per Class: 80
Runner Episode: 12	Loss: 0.328403	Accuracy: 0.940 	 Current Training Data Per Class: 80
Runner Episode: 13	Loss: 0.347811	Accuracy: 0.890 	 Current Training Data Per Class: 80
Runner Episode: 14	Loss: 0.649423	Accuracy: 0.760 	 Current Training Data Per Class: 80
Runner Episode: 15	Loss: 0.673115	Accuracy: 0.830 	 Current Training Data Per Class: 80
Runner Episode: 16	Loss: 0.403817	Accuracy: 0.900 	 Current Training Data Per Class: 80
Runner Episode: 17	Loss: 0.273298	Accuracy: 0.920 	 Current Training Data Per Class: 80
Runner Episode: 18	Loss: 0.365029	Accuracy: 0.860 	 Current Training Data Per Class: 80
Runner Episode: 19	Loss: 0.639173	Accuracy: 0.760 	 Current Training Data Per Class: 80
Runner Episode: 20	Loss: 0.540959	Accuracy: 0.850 	 Current Training Data Per Class: 80
Runner Episode: 21	Loss: 0.956937	Accuracy: 0.720 	 Current Training Data Per Class: 80
Runner Episode: 22	Loss: 0.801624	Accuracy: 0.790 	 Current Training Data Per Class: 80
Runner Episode: 23	Loss: 0.455345	Accuracy: 0.870 	 Current Training Data Per Class: 80
Runner Episode: 24	Loss: 0.404631	Accuracy: 0.890 	 Current Training Data Per Class: 80
Runner Episode: 25	Loss: 0.988419	Accuracy: 0.720 	 Current Training Data Per Class: 80
Runner Episode: 26	Loss: 0.564173	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 27	Loss: 0.606432	Accuracy: 0.800 	 Current Training Data Per Class: 80
Runner Episode: 28	Loss: 0.630024	Accuracy: 0.860 	 Current Training Data Per Class: 80
Runner Episode: 29	Loss: 0.454595	Accuracy: 0.900 	 Current Training Data Per Class: 80
Runner Episode: 30	Loss: 0.460573	Accuracy: 0.850 	 Current Training Data Per Class: 80
Runner Episode: 31	Loss: 0.718789	Accuracy: 0.750 	 Current Training Data Per Class: 80
Runner Episode: 32	Loss: 0.270444	Accuracy: 0.940 	 Current Training Data Per Class: 80
Runner Episode: 33	Loss: 0.678890	Accuracy: 0.780 	 Current Training Data Per Class: 80
Runner Episode: 34	Loss: 0.513465	Accuracy: 0.810 	 Current Training Data Per Class: 80
Runner Episode: 35	Loss: 0.413341	Accuracy: 0.820 	 Current Training Data Per Class: 80
Runner Episode: 36	Loss: 0.939851	Accuracy: 0.750 	 Current Training Data Per Class: 80
Runner Episode: 37	Loss: 0.667970	Accuracy: 0.780 	 Current Training Data Per Class: 80
Runner Episode: 38	Loss: 0.796568	Accuracy: 0.760 	 Current Training Data Per Class: 80
Runner Episode: 39	Loss: 0.588155	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 40	Loss: 0.488907	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 41	Loss: 1.114435	Accuracy: 0.700 	 Current Training Data Per Class: 80
Runner Episode: 42	Loss: 0.502276	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 43	Loss: 0.844154	Accuracy: 0.730 	 Current Training Data Per Class: 80
Runner Episode: 44	Loss: 0.722225	Accuracy: 0.760 	 Current Training Data Per Class: 80
Runner Episode: 45	Loss: 0.647159	Accuracy: 0.760 	 Current Training Data Per Class: 80
Runner Episode: 46	Loss: 0.610592	Accuracy: 0.720 	 Current Training Data Per Class: 80
Runner Episode: 47	Loss: 0.634401	Accuracy: 0.850 	 Current Training Data Per Class: 80
Runner Episode: 48	Loss: 0.288883	Accuracy: 0.910 	 Current Training Data Per Class: 80
Runner Episode: 49	Loss: 0.262444	Accuracy: 0.920 	 Current Training Data Per Class: 80
Runner Episode: 50	Loss: 1.023780	Accuracy: 0.680 	 Current Training Data Per Class: 80
