Runner Episode: 1	Loss: 0.934332	Accuracy: 0.780 	 Current Training Data Per Class: 140
Runner Episode: 2	Loss: 0.626299	Accuracy: 0.810 	 Current Training Data Per Class: 140
Runner Episode: 3	Loss: 0.413630	Accuracy: 0.900 	 Current Training Data Per Class: 140
Runner Episode: 4	Loss: 0.831823	Accuracy: 0.720 	 Current Training Data Per Class: 140
Runner Episode: 5	Loss: 0.916366	Accuracy: 0.720 	 Current Training Data Per Class: 140
Runner Episode: 6	Loss: 0.610912	Accuracy: 0.880 	 Current Training Data Per Class: 140
Runner Episode: 7	Loss: 0.397519	Accuracy: 0.850 	 Current Training Data Per Class: 140
Runner Episode: 8	Loss: 0.374747	Accuracy: 0.870 	 Current Training Data Per Class: 140
Runner Episode: 9	Loss: 0.651547	Accuracy: 0.780 	 Current Training Data Per Class: 140
Runner Episode: 10	Loss: 0.943686	Accuracy: 0.700 	 Current Training Data Per Class: 140
Runner Episode: 11	Loss: 1.002135	Accuracy: 0.750 	 Current Training Data Per Class: 140
Runner Episode: 12	Loss: 0.645204	Accuracy: 0.820 	 Current Training Data Per Class: 140
Runner Episode: 13	Loss: 0.452210	Accuracy: 0.840 	 Current Training Data Per Class: 140
Runner Episode: 14	Loss: 0.384380	Accuracy: 0.870 	 Current Training Data Per Class: 140
Runner Episode: 15	Loss: 0.785840	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 16	Loss: 0.265011	Accuracy: 0.890 	 Current Training Data Per Class: 140
Runner Episode: 17	Loss: 0.440782	Accuracy: 0.860 	 Current Training Data Per Class: 140
Runner Episode: 18	Loss: 1.184277	Accuracy: 0.650 	 Current Training Data Per Class: 140
Runner Episode: 19	Loss: 0.687510	Accuracy: 0.810 	 Current Training Data Per Class: 140
Runner Episode: 20	Loss: 0.825663	Accuracy: 0.790 	 Current Training Data Per Class: 140
Runner Episode: 21	Loss: 1.604723	Accuracy: 0.640 	 Current Training Data Per Class: 140
Runner Episode: 22	Loss: 0.962196	Accuracy: 0.760 	 Current Training Data Per Class: 140
Runner Episode: 23	Loss: 0.564095	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 24	Loss: 0.408550	Accuracy: 0.880 	 Current Training Data Per Class: 140
Runner Episode: 25	Loss: 1.656668	Accuracy: 0.550 	 Current Training Data Per Class: 140
Runner Episode: 26	Loss: 0.580567	Accuracy: 0.820 	 Current Training Data Per Class: 140
Runner Episode: 27	Loss: 0.587272	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 28	Loss: 1.408471	Accuracy: 0.760 	 Current Training Data Per Class: 140
Runner Episode: 29	Loss: 0.995132	Accuracy: 0.760 	 Current Training Data Per Class: 140
Runner Episode: 30	Loss: 0.596809	Accuracy: 0.790 	 Current Training Data Per Class: 140
Runner Episode: 31	Loss: 0.598405	Accuracy: 0.830 	 Current Training Data Per Class: 140
Runner Episode: 32	Loss: 0.622730	Accuracy: 0.790 	 Current Training Data Per Class: 140
Runner Episode: 33	Loss: 0.826356	Accuracy: 0.740 	 Current Training Data Per Class: 140
Runner Episode: 34	Loss: 0.371407	Accuracy: 0.870 	 Current Training Data Per Class: 140
Runner Episode: 35	Loss: 0.408816	Accuracy: 0.840 	 Current Training Data Per Class: 140
Runner Episode: 36	Loss: 0.543285	Accuracy: 0.820 	 Current Training Data Per Class: 140
Runner Episode: 37	Loss: 0.482296	Accuracy: 0.870 	 Current Training Data Per Class: 140
Runner Episode: 38	Loss: 0.979527	Accuracy: 0.720 	 Current Training Data Per Class: 140
Runner Episode: 39	Loss: 0.695612	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 40	Loss: 0.548879	Accuracy: 0.830 	 Current Training Data Per Class: 140
Runner Episode: 41	Loss: 1.139361	Accuracy: 0.730 	 Current Training Data Per Class: 140
Runner Episode: 42	Loss: 0.648696	Accuracy: 0.820 	 Current Training Data Per Class: 140
Runner Episode: 43	Loss: 1.369117	Accuracy: 0.700 	 Current Training Data Per Class: 140
Runner Episode: 44	Loss: 0.708908	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 45	Loss: 1.703923	Accuracy: 0.570 	 Current Training Data Per Class: 140
Runner Episode: 46	Loss: 0.476897	Accuracy: 0.850 	 Current Training Data Per Class: 140
Runner Episode: 47	Loss: 0.566569	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 48	Loss: 0.594924	Accuracy: 0.890 	 Current Training Data Per Class: 140
Runner Episode: 49	Loss: 0.384472	Accuracy: 0.830 	 Current Training Data Per Class: 140
Runner Episode: 50	Loss: 1.741220	Accuracy: 0.670 	 Current Training Data Per Class: 140
