Runner Episode: 1	Loss: 0.584465	Accuracy: 0.780 	 Current Training Data Per Class: 375
Runner Episode: 2	Loss: 0.336833	Accuracy: 0.920 	 Current Training Data Per Class: 375
Runner Episode: 3	Loss: 0.382560	Accuracy: 0.860 	 Current Training Data Per Class: 375
Runner Episode: 4	Loss: 0.424140	Accuracy: 0.870 	 Current Training Data Per Class: 375
Runner Episode: 5	Loss: 0.722013	Accuracy: 0.720 	 Current Training Data Per Class: 375
Runner Episode: 6	Loss: 0.292979	Accuracy: 0.910 	 Current Training Data Per Class: 375
Runner Episode: 7	Loss: 0.558771	Accuracy: 0.820 	 Current Training Data Per Class: 375
Runner Episode: 8	Loss: 0.481481	Accuracy: 0.830 	 Current Training Data Per Class: 375
Runner Episode: 9	Loss: 0.354943	Accuracy: 0.900 	 Current Training Data Per Class: 375
Runner Episode: 10	Loss: 0.296890	Accuracy: 0.920 	 Current Training Data Per Class: 375
Runner Episode: 11	Loss: 0.838610	Accuracy: 0.720 	 Current Training Data Per Class: 375
Runner Episode: 12	Loss: 0.497472	Accuracy: 0.840 	 Current Training Data Per Class: 375
Runner Episode: 13	Loss: 0.439128	Accuracy: 0.860 	 Current Training Data Per Class: 375
Runner Episode: 14	Loss: 0.424738	Accuracy: 0.840 	 Current Training Data Per Class: 375
Runner Episode: 15	Loss: 0.535555	Accuracy: 0.770 	 Current Training Data Per Class: 375
Runner Episode: 16	Loss: 0.544736	Accuracy: 0.780 	 Current Training Data Per Class: 375
Runner Episode: 17	Loss: 0.334389	Accuracy: 0.900 	 Current Training Data Per Class: 375
Runner Episode: 18	Loss: 0.334658	Accuracy: 0.910 	 Current Training Data Per Class: 375
Runner Episode: 19	Loss: 0.410059	Accuracy: 0.870 	 Current Training Data Per Class: 375
Runner Episode: 20	Loss: 0.573913	Accuracy: 0.800 	 Current Training Data Per Class: 375
Runner Episode: 21	Loss: 0.339695	Accuracy: 0.890 	 Current Training Data Per Class: 375
Runner Episode: 22	Loss: 0.427277	Accuracy: 0.840 	 Current Training Data Per Class: 375
Runner Episode: 23	Loss: 0.435414	Accuracy: 0.820 	 Current Training Data Per Class: 375
Runner Episode: 24	Loss: 0.435971	Accuracy: 0.870 	 Current Training Data Per Class: 375
Runner Episode: 25	Loss: 0.113179	Accuracy: 0.980 	 Current Training Data Per Class: 375
Runner Episode: 26	Loss: 0.407535	Accuracy: 0.860 	 Current Training Data Per Class: 375
Runner Episode: 27	Loss: 0.553165	Accuracy: 0.760 	 Current Training Data Per Class: 375
Runner Episode: 28	Loss: 0.409834	Accuracy: 0.840 	 Current Training Data Per Class: 375
Runner Episode: 29	Loss: 0.400444	Accuracy: 0.890 	 Current Training Data Per Class: 375
Runner Episode: 30	Loss: 0.482872	Accuracy: 0.830 	 Current Training Data Per Class: 375
Runner Episode: 31	Loss: 0.332224	Accuracy: 0.920 	 Current Training Data Per Class: 375
Runner Episode: 32	Loss: 0.490763	Accuracy: 0.810 	 Current Training Data Per Class: 375
Runner Episode: 33	Loss: 0.916573	Accuracy: 0.620 	 Current Training Data Per Class: 375
Runner Episode: 34	Loss: 0.467298	Accuracy: 0.860 	 Current Training Data Per Class: 375
Runner Episode: 35	Loss: 0.566439	Accuracy: 0.750 	 Current Training Data Per Class: 375
Runner Episode: 36	Loss: 0.371974	Accuracy: 0.900 	 Current Training Data Per Class: 375
Runner Episode: 37	Loss: 0.366737	Accuracy: 0.880 	 Current Training Data Per Class: 375
Runner Episode: 38	Loss: 0.556505	Accuracy: 0.820 	 Current Training Data Per Class: 375
Runner Episode: 39	Loss: 0.699401	Accuracy: 0.760 	 Current Training Data Per Class: 375
Runner Episode: 40	Loss: 0.486349	Accuracy: 0.840 	 Current Training Data Per Class: 375
Runner Episode: 41	Loss: 0.529131	Accuracy: 0.770 	 Current Training Data Per Class: 375
Runner Episode: 42	Loss: 0.345320	Accuracy: 0.820 	 Current Training Data Per Class: 375
Runner Episode: 43	Loss: 0.407790	Accuracy: 0.830 	 Current Training Data Per Class: 375
Runner Episode: 44	Loss: 0.839186	Accuracy: 0.660 	 Current Training Data Per Class: 375
Runner Episode: 45	Loss: 0.736202	Accuracy: 0.730 	 Current Training Data Per Class: 375
Runner Episode: 46	Loss: 0.474287	Accuracy: 0.800 	 Current Training Data Per Class: 375
Runner Episode: 47	Loss: 0.352076	Accuracy: 0.880 	 Current Training Data Per Class: 375
Runner Episode: 48	Loss: 0.502372	Accuracy: 0.800 	 Current Training Data Per Class: 375
Runner Episode: 49	Loss: 0.558518	Accuracy: 0.800 	 Current Training Data Per Class: 375
Runner Episode: 50	Loss: 0.317812	Accuracy: 0.940 	 Current Training Data Per Class: 375
