Runner Episode: 1	Loss: 1.792758	Accuracy: 0.220 	 Current Training Data Per Class: 20
Runner Episode: 2	Loss: 1.080453	Accuracy: 0.560 	 Current Training Data Per Class: 20
Runner Episode: 3	Loss: 1.393920	Accuracy: 0.520 	 Current Training Data Per Class: 20
Runner Episode: 4	Loss: 1.065486	Accuracy: 0.600 	 Current Training Data Per Class: 20
Runner Episode: 5	Loss: 2.082891	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 6	Loss: 1.182549	Accuracy: 0.560 	 Current Training Data Per Class: 20
Runner Episode: 7	Loss: 1.777128	Accuracy: 0.290 	 Current Training Data Per Class: 20
Runner Episode: 8	Loss: 2.140996	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 9	Loss: 1.681927	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 10	Loss: 1.599895	Accuracy: 0.470 	 Current Training Data Per Class: 20
Runner Episode: 11	Loss: 2.060555	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 12	Loss: 1.784853	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 13	Loss: 1.419923	Accuracy: 0.380 	 Current Training Data Per Class: 20
Runner Episode: 14	Loss: 1.587337	Accuracy: 0.320 	 Current Training Data Per Class: 20
Runner Episode: 15	Loss: 1.450438	Accuracy: 0.380 	 Current Training Data Per Class: 20
Runner Episode: 16	Loss: 1.582374	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 17	Loss: 1.765536	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 18	Loss: 0.980487	Accuracy: 0.520 	 Current Training Data Per Class: 20
Runner Episode: 19	Loss: 1.731208	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 20	Loss: 1.569273	Accuracy: 0.230 	 Current Training Data Per Class: 20
Runner Episode: 21	Loss: 1.562304	Accuracy: 0.400 	 Current Training Data Per Class: 20
Runner Episode: 22	Loss: 1.904670	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 23	Loss: 1.752685	Accuracy: 0.230 	 Current Training Data Per Class: 20
Runner Episode: 24	Loss: 1.904410	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 25	Loss: 0.411294	Accuracy: 0.760 	 Current Training Data Per Class: 20
Runner Episode: 26	Loss: 1.631926	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 27	Loss: 1.620159	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 28	Loss: 1.666617	Accuracy: 0.290 	 Current Training Data Per Class: 20
Runner Episode: 29	Loss: 1.788509	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 30	Loss: 1.864671	Accuracy: 0.290 	 Current Training Data Per Class: 20
Runner Episode: 31	Loss: 1.748021	Accuracy: 0.300 	 Current Training Data Per Class: 20
Runner Episode: 32	Loss: 1.678848	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 33	Loss: 1.887946	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 34	Loss: 1.587534	Accuracy: 0.390 	 Current Training Data Per Class: 20
Runner Episode: 35	Loss: 1.725128	Accuracy: 0.280 	 Current Training Data Per Class: 20
Runner Episode: 36	Loss: 1.224897	Accuracy: 0.490 	 Current Training Data Per Class: 20
Runner Episode: 37	Loss: 0.873994	Accuracy: 0.600 	 Current Training Data Per Class: 20
Runner Episode: 38	Loss: 1.582479	Accuracy: 0.350 	 Current Training Data Per Class: 20
Runner Episode: 39	Loss: 1.620442	Accuracy: 0.230 	 Current Training Data Per Class: 20
Runner Episode: 40	Loss: 2.095980	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 41	Loss: 2.186510	Accuracy: 0.220 	 Current Training Data Per Class: 20
Runner Episode: 42	Loss: 1.558200	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 43	Loss: 1.487608	Accuracy: 0.380 	 Current Training Data Per Class: 20
Runner Episode: 44	Loss: 1.725950	Accuracy: 0.280 	 Current Training Data Per Class: 20
Runner Episode: 45	Loss: 1.739546	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 46	Loss: 1.347746	Accuracy: 0.360 	 Current Training Data Per Class: 20
Runner Episode: 47	Loss: 1.672024	Accuracy: 0.220 	 Current Training Data Per Class: 20
Runner Episode: 48	Loss: 1.340260	Accuracy: 0.260 	 Current Training Data Per Class: 20
Runner Episode: 49	Loss: 1.687672	Accuracy: 0.260 	 Current Training Data Per Class: 20
Runner Episode: 50	Loss: 1.258083	Accuracy: 0.530 	 Current Training Data Per Class: 20
