Runner Episode: 1	Loss: 0.480831	Accuracy: 0.900 	 Current Training Data Per Class: 325
Runner Episode: 2	Loss: 1.038282	Accuracy: 0.760 	 Current Training Data Per Class: 325
Runner Episode: 3	Loss: 0.836502	Accuracy: 0.870 	 Current Training Data Per Class: 325
Runner Episode: 4	Loss: 0.238341	Accuracy: 0.900 	 Current Training Data Per Class: 325
Runner Episode: 5	Loss: 0.139203	Accuracy: 0.920 	 Current Training Data Per Class: 325
Runner Episode: 6	Loss: 0.317630	Accuracy: 0.870 	 Current Training Data Per Class: 325
Runner Episode: 7	Loss: 1.225725	Accuracy: 0.760 	 Current Training Data Per Class: 325
Runner Episode: 8	Loss: 0.289767	Accuracy: 0.900 	 Current Training Data Per Class: 325
Runner Episode: 9	Loss: 1.085974	Accuracy: 0.810 	 Current Training Data Per Class: 325
Runner Episode: 10	Loss: 0.376171	Accuracy: 0.910 	 Current Training Data Per Class: 325
Runner Episode: 11	Loss: 0.239588	Accuracy: 0.920 	 Current Training Data Per Class: 325
Runner Episode: 12	Loss: 0.672472	Accuracy: 0.880 	 Current Training Data Per Class: 325
Runner Episode: 13	Loss: 0.238940	Accuracy: 0.950 	 Current Training Data Per Class: 325
Runner Episode: 14	Loss: 0.663979	Accuracy: 0.830 	 Current Training Data Per Class: 325
Runner Episode: 15	Loss: 0.277367	Accuracy: 0.910 	 Current Training Data Per Class: 325
Runner Episode: 16	Loss: 0.713047	Accuracy: 0.850 	 Current Training Data Per Class: 325
Runner Episode: 17	Loss: 0.441385	Accuracy: 0.880 	 Current Training Data Per Class: 325
Runner Episode: 18	Loss: 1.386986	Accuracy: 0.670 	 Current Training Data Per Class: 325
Runner Episode: 19	Loss: 0.232644	Accuracy: 0.960 	 Current Training Data Per Class: 325
Runner Episode: 20	Loss: 0.640497	Accuracy: 0.790 	 Current Training Data Per Class: 325
Runner Episode: 21	Loss: 0.473762	Accuracy: 0.860 	 Current Training Data Per Class: 325
Runner Episode: 22	Loss: 0.296825	Accuracy: 0.920 	 Current Training Data Per Class: 325
Runner Episode: 23	Loss: 0.180141	Accuracy: 0.930 	 Current Training Data Per Class: 325
Runner Episode: 24	Loss: 0.184976	Accuracy: 0.920 	 Current Training Data Per Class: 325
Runner Episode: 25	Loss: 0.444006	Accuracy: 0.880 	 Current Training Data Per Class: 325
Runner Episode: 26	Loss: 0.180632	Accuracy: 0.890 	 Current Training Data Per Class: 325
Runner Episode: 27	Loss: 0.547335	Accuracy: 0.880 	 Current Training Data Per Class: 325
Runner Episode: 28	Loss: 0.441114	Accuracy: 0.860 	 Current Training Data Per Class: 325
Runner Episode: 29	Loss: 0.504293	Accuracy: 0.890 	 Current Training Data Per Class: 325
Runner Episode: 30	Loss: 0.212436	Accuracy: 0.960 	 Current Training Data Per Class: 325
Runner Episode: 31	Loss: 0.596013	Accuracy: 0.860 	 Current Training Data Per Class: 325
Runner Episode: 32	Loss: 0.951821	Accuracy: 0.810 	 Current Training Data Per Class: 325
Runner Episode: 33	Loss: 0.552335	Accuracy: 0.910 	 Current Training Data Per Class: 325
Runner Episode: 34	Loss: 0.764333	Accuracy: 0.800 	 Current Training Data Per Class: 325
Runner Episode: 35	Loss: 0.747735	Accuracy: 0.790 	 Current Training Data Per Class: 325
Runner Episode: 36	Loss: 0.716073	Accuracy: 0.830 	 Current Training Data Per Class: 325
Runner Episode: 37	Loss: 0.744312	Accuracy: 0.830 	 Current Training Data Per Class: 325
Runner Episode: 38	Loss: 0.511124	Accuracy: 0.880 	 Current Training Data Per Class: 325
Runner Episode: 39	Loss: 0.794894	Accuracy: 0.790 	 Current Training Data Per Class: 325
Runner Episode: 40	Loss: 0.560223	Accuracy: 0.830 	 Current Training Data Per Class: 325
Runner Episode: 41	Loss: 1.114138	Accuracy: 0.710 	 Current Training Data Per Class: 325
Runner Episode: 42	Loss: 0.274601	Accuracy: 0.920 	 Current Training Data Per Class: 325
Runner Episode: 43	Loss: 0.527405	Accuracy: 0.880 	 Current Training Data Per Class: 325
Runner Episode: 44	Loss: 0.777025	Accuracy: 0.820 	 Current Training Data Per Class: 325
Runner Episode: 45	Loss: 0.700879	Accuracy: 0.860 	 Current Training Data Per Class: 325
Runner Episode: 46	Loss: 0.500654	Accuracy: 0.830 	 Current Training Data Per Class: 325
Runner Episode: 47	Loss: 0.183642	Accuracy: 0.970 	 Current Training Data Per Class: 325
Runner Episode: 48	Loss: 0.272836	Accuracy: 0.950 	 Current Training Data Per Class: 325
Runner Episode: 49	Loss: 0.828078	Accuracy: 0.820 	 Current Training Data Per Class: 325
Runner Episode: 50	Loss: 0.378350	Accuracy: 0.920 	 Current Training Data Per Class: 325
