Runner Episode: 1	Loss: 0.297149	Accuracy: 0.860 	 Current Training Data Per Class: 130
Runner Episode: 2	Loss: 0.659097	Accuracy: 0.770 	 Current Training Data Per Class: 130
Runner Episode: 3	Loss: 0.422566	Accuracy: 0.840 	 Current Training Data Per Class: 130
Runner Episode: 4	Loss: 0.469626	Accuracy: 0.870 	 Current Training Data Per Class: 130
Runner Episode: 5	Loss: 0.436378	Accuracy: 0.860 	 Current Training Data Per Class: 130
Runner Episode: 6	Loss: 0.545154	Accuracy: 0.790 	 Current Training Data Per Class: 130
Runner Episode: 7	Loss: 0.530525	Accuracy: 0.830 	 Current Training Data Per Class: 130
Runner Episode: 8	Loss: 0.718586	Accuracy: 0.790 	 Current Training Data Per Class: 130
Runner Episode: 9	Loss: 0.378527	Accuracy: 0.870 	 Current Training Data Per Class: 130
Runner Episode: 10	Loss: 0.595310	Accuracy: 0.840 	 Current Training Data Per Class: 130
Runner Episode: 11	Loss: 0.361131	Accuracy: 0.860 	 Current Training Data Per Class: 130
Runner Episode: 12	Loss: 0.415603	Accuracy: 0.900 	 Current Training Data Per Class: 130
Runner Episode: 13	Loss: 0.154161	Accuracy: 0.950 	 Current Training Data Per Class: 130
Runner Episode: 14	Loss: 0.590938	Accuracy: 0.770 	 Current Training Data Per Class: 130
Runner Episode: 15	Loss: 0.417889	Accuracy: 0.820 	 Current Training Data Per Class: 130
Runner Episode: 16	Loss: 0.695964	Accuracy: 0.820 	 Current Training Data Per Class: 130
Runner Episode: 17	Loss: 0.647080	Accuracy: 0.790 	 Current Training Data Per Class: 130
Runner Episode: 18	Loss: 0.698897	Accuracy: 0.700 	 Current Training Data Per Class: 130
Runner Episode: 19	Loss: 0.290382	Accuracy: 0.900 	 Current Training Data Per Class: 130
Runner Episode: 20	Loss: 0.684901	Accuracy: 0.770 	 Current Training Data Per Class: 130
Runner Episode: 21	Loss: 0.673383	Accuracy: 0.800 	 Current Training Data Per Class: 130
Runner Episode: 22	Loss: 0.430904	Accuracy: 0.860 	 Current Training Data Per Class: 130
Runner Episode: 23	Loss: 0.300615	Accuracy: 0.910 	 Current Training Data Per Class: 130
Runner Episode: 24	Loss: 0.391350	Accuracy: 0.900 	 Current Training Data Per Class: 130
Runner Episode: 25	Loss: 0.397066	Accuracy: 0.870 	 Current Training Data Per Class: 130
Runner Episode: 26	Loss: 0.259277	Accuracy: 0.920 	 Current Training Data Per Class: 130
Runner Episode: 27	Loss: 0.302031	Accuracy: 0.900 	 Current Training Data Per Class: 130
Runner Episode: 28	Loss: 0.381631	Accuracy: 0.870 	 Current Training Data Per Class: 130
Runner Episode: 29	Loss: 0.670391	Accuracy: 0.780 	 Current Training Data Per Class: 130
Runner Episode: 30	Loss: 0.459846	Accuracy: 0.800 	 Current Training Data Per Class: 130
Runner Episode: 31	Loss: 0.323641	Accuracy: 0.910 	 Current Training Data Per Class: 130
Runner Episode: 32	Loss: 0.534620	Accuracy: 0.840 	 Current Training Data Per Class: 130
Runner Episode: 33	Loss: 0.260963	Accuracy: 0.910 	 Current Training Data Per Class: 130
Runner Episode: 34	Loss: 0.490979	Accuracy: 0.830 	 Current Training Data Per Class: 130
Runner Episode: 35	Loss: 0.841043	Accuracy: 0.750 	 Current Training Data Per Class: 130
Runner Episode: 36	Loss: 0.587832	Accuracy: 0.780 	 Current Training Data Per Class: 130
Runner Episode: 37	Loss: 0.485349	Accuracy: 0.830 	 Current Training Data Per Class: 130
Runner Episode: 38	Loss: 0.200171	Accuracy: 0.920 	 Current Training Data Per Class: 130
Runner Episode: 39	Loss: 0.680517	Accuracy: 0.780 	 Current Training Data Per Class: 130
Runner Episode: 40	Loss: 0.405726	Accuracy: 0.850 	 Current Training Data Per Class: 130
Runner Episode: 41	Loss: 0.517560	Accuracy: 0.850 	 Current Training Data Per Class: 130
Runner Episode: 42	Loss: 0.302181	Accuracy: 0.900 	 Current Training Data Per Class: 130
Runner Episode: 43	Loss: 0.387504	Accuracy: 0.910 	 Current Training Data Per Class: 130
Runner Episode: 44	Loss: 0.593251	Accuracy: 0.810 	 Current Training Data Per Class: 130
Runner Episode: 45	Loss: 0.621061	Accuracy: 0.790 	 Current Training Data Per Class: 130
Runner Episode: 46	Loss: 0.506826	Accuracy: 0.870 	 Current Training Data Per Class: 130
Runner Episode: 47	Loss: 0.188625	Accuracy: 0.940 	 Current Training Data Per Class: 130
Runner Episode: 48	Loss: 0.258486	Accuracy: 0.900 	 Current Training Data Per Class: 130
Runner Episode: 49	Loss: 0.406733	Accuracy: 0.890 	 Current Training Data Per Class: 130
Runner Episode: 50	Loss: 0.930526	Accuracy: 0.730 	 Current Training Data Per Class: 130
