Train Episode: 1	Loss: 0.207424	Accuracy: 0.940	 Current training data: 120
Train Episode: 2	Loss: 1.032326	Accuracy: 0.590	 Current training data: 120
Train Episode: 3	Loss: 0.631414	Accuracy: 0.810	 Current training data: 120
Train Episode: 4	Loss: 0.442734	Accuracy: 0.870	 Current training data: 120
Train Episode: 5	Loss: 0.937435	Accuracy: 0.750	 Current training data: 120
Train Episode: 6	Loss: 0.275704	Accuracy: 0.900	 Current training data: 120
Train Episode: 7	Loss: 0.579223	Accuracy: 0.850	 Current training data: 120
Train Episode: 8	Loss: 0.588784	Accuracy: 0.820	 Current training data: 120
Train Episode: 9	Loss: 0.316145	Accuracy: 0.890	 Current training data: 120
Train Episode: 10	Loss: 0.581407	Accuracy: 0.850	 Current training data: 120
Train Episode: 11	Loss: 0.539391	Accuracy: 0.830	 Current training data: 120
Train Episode: 12	Loss: 0.444557	Accuracy: 0.830	 Current training data: 120
Train Episode: 13	Loss: 0.539287	Accuracy: 0.760	 Current training data: 120
Train Episode: 14	Loss: 0.464113	Accuracy: 0.850	 Current training data: 120
Train Episode: 15	Loss: 0.282680	Accuracy: 0.900	 Current training data: 120
Train Episode: 16	Loss: 0.568897	Accuracy: 0.860	 Current training data: 120
Train Episode: 17	Loss: 0.292790	Accuracy: 0.930	 Current training data: 120
Train Episode: 18	Loss: 0.303203	Accuracy: 0.890	 Current training data: 120
Train Episode: 19	Loss: 0.591499	Accuracy: 0.830	 Current training data: 120
Train Episode: 20	Loss: 0.230360	Accuracy: 0.930	 Current training data: 120
Train Episode: 21	Loss: 0.277846	Accuracy: 0.900	 Current training data: 120
Train Episode: 22	Loss: 0.451409	Accuracy: 0.850	 Current training data: 120
Train Episode: 23	Loss: 0.389306	Accuracy: 0.860	 Current training data: 120
Train Episode: 24	Loss: 0.602854	Accuracy: 0.700	 Current training data: 120
Train Episode: 25	Loss: 0.613597	Accuracy: 0.770	 Current training data: 120
Train Episode: 26	Loss: 0.396065	Accuracy: 0.830	 Current training data: 120
Train Episode: 27	Loss: 0.464472	Accuracy: 0.870	 Current training data: 120
Train Episode: 28	Loss: 0.290744	Accuracy: 0.890	 Current training data: 120
Train Episode: 29	Loss: 0.451756	Accuracy: 0.860	 Current training data: 120
Train Episode: 30	Loss: 0.449592	Accuracy: 0.890	 Current training data: 120
Train Episode: 31	Loss: 0.483993	Accuracy: 0.830	 Current training data: 120
Train Episode: 32	Loss: 0.717055	Accuracy: 0.780	 Current training data: 120
Train Episode: 33	Loss: 0.203525	Accuracy: 0.900	 Current training data: 120
Train Episode: 34	Loss: 0.230665	Accuracy: 0.910	 Current training data: 120
Train Episode: 35	Loss: 0.375012	Accuracy: 0.880	 Current training data: 120
Train Episode: 36	Loss: 0.505062	Accuracy: 0.810	 Current training data: 120
Train Episode: 37	Loss: 0.226136	Accuracy: 0.910	 Current training data: 120
Train Episode: 38	Loss: 0.351449	Accuracy: 0.890	 Current training data: 120
Train Episode: 39	Loss: 0.360927	Accuracy: 0.860	 Current training data: 120
Train Episode: 40	Loss: 0.550607	Accuracy: 0.800	 Current training data: 120
Train Episode: 41	Loss: 0.332284	Accuracy: 0.920	 Current training data: 120
Train Episode: 42	Loss: 0.303133	Accuracy: 0.910	 Current training data: 120
Train Episode: 43	Loss: 0.159362	Accuracy: 0.950	 Current training data: 120
Train Episode: 44	Loss: 0.783802	Accuracy: 0.760	 Current training data: 120
Train Episode: 45	Loss: 0.568010	Accuracy: 0.780	 Current training data: 120
Train Episode: 46	Loss: 0.174357	Accuracy: 0.960	 Current training data: 120
Train Episode: 47	Loss: 0.385102	Accuracy: 0.860	 Current training data: 120
Train Episode: 48	Loss: 0.383855	Accuracy: 0.860	 Current training data: 120
Train Episode: 49	Loss: 0.666126	Accuracy: 0.770	 Current training data: 120
Train Episode: 50	Loss: 0.509667	Accuracy: 0.840	 Current training data: 120
