Train Episode: 1	Loss: 0.238820	Accuracy: 0.930	 Current training data: 300
Train Episode: 2	Loss: 1.076249	Accuracy: 0.390	 Current training data: 300
Train Episode: 3	Loss: 0.532200	Accuracy: 0.810	 Current training data: 300
Train Episode: 4	Loss: 0.362943	Accuracy: 0.770	 Current training data: 300
Train Episode: 5	Loss: 0.558214	Accuracy: 0.840	 Current training data: 300
Train Episode: 6	Loss: 0.631590	Accuracy: 0.800	 Current training data: 300
Train Episode: 7	Loss: 0.727763	Accuracy: 0.780	 Current training data: 300
Train Episode: 8	Loss: 1.158666	Accuracy: 0.470	 Current training data: 300
Train Episode: 9	Loss: 0.739069	Accuracy: 0.580	 Current training data: 300
Train Episode: 10	Loss: 0.837099	Accuracy: 0.570	 Current training data: 300
Train Episode: 11	Loss: 0.525060	Accuracy: 0.840	 Current training data: 300
Train Episode: 12	Loss: 1.089687	Accuracy: 0.530	 Current training data: 300
Train Episode: 13	Loss: 0.756630	Accuracy: 0.640	 Current training data: 300
Train Episode: 14	Loss: 0.581969	Accuracy: 0.820	 Current training data: 300
Train Episode: 15	Loss: 0.684017	Accuracy: 0.710	 Current training data: 300
Train Episode: 16	Loss: 0.419104	Accuracy: 0.770	 Current training data: 300
Train Episode: 17	Loss: 0.677360	Accuracy: 0.760	 Current training data: 300
Train Episode: 18	Loss: 0.809137	Accuracy: 0.680	 Current training data: 300
Train Episode: 19	Loss: 0.904266	Accuracy: 0.540	 Current training data: 300
Train Episode: 20	Loss: 0.424189	Accuracy: 0.870	 Current training data: 300
