Train Episode: 1	Loss: 1.136334	Accuracy: 0.430	 Current training data: 130
Train Episode: 2	Loss: 0.899661	Accuracy: 0.570	 Current training data: 130
Train Episode: 3	Loss: 0.600896	Accuracy: 0.710	 Current training data: 130
Train Episode: 4	Loss: 0.605804	Accuracy: 0.700	 Current training data: 130
Train Episode: 5	Loss: 0.901515	Accuracy: 0.550	 Current training data: 130
Train Episode: 6	Loss: 1.004336	Accuracy: 0.660	 Current training data: 130
Train Episode: 7	Loss: 1.013253	Accuracy: 0.610	 Current training data: 130
Train Episode: 8	Loss: 1.212729	Accuracy: 0.380	 Current training data: 130
Train Episode: 9	Loss: 0.808241	Accuracy: 0.670	 Current training data: 130
Train Episode: 10	Loss: 1.307283	Accuracy: 0.580	 Current training data: 130
Train Episode: 11	Loss: 0.808494	Accuracy: 0.620	 Current training data: 130
Train Episode: 12	Loss: 0.917363	Accuracy: 0.560	 Current training data: 130
Train Episode: 13	Loss: 1.208518	Accuracy: 0.640	 Current training data: 130
Train Episode: 14	Loss: 1.087414	Accuracy: 0.510	 Current training data: 130
Train Episode: 15	Loss: 1.184817	Accuracy: 0.400	 Current training data: 130
Train Episode: 16	Loss: 1.561818	Accuracy: 0.390	 Current training data: 130
Train Episode: 17	Loss: 1.392939	Accuracy: 0.400	 Current training data: 130
Train Episode: 18	Loss: 1.494449	Accuracy: 0.380	 Current training data: 130
Train Episode: 19	Loss: 1.628646	Accuracy: 0.340	 Current training data: 130
Train Episode: 20	Loss: 1.001366	Accuracy: 0.520	 Current training data: 130
