Train Episode: 1	Loss: 1.070010	Accuracy: 0.550	 Current training data: 400
Train Episode: 2	Loss: 0.982291	Accuracy: 0.580	 Current training data: 400
Train Episode: 3	Loss: 1.296311	Accuracy: 0.455	 Current training data: 400
Train Episode: 4	Loss: 1.099777	Accuracy: 0.510	 Current training data: 400
Train Episode: 5	Loss: 0.942361	Accuracy: 0.600	 Current training data: 400
Train Episode: 6	Loss: 1.073649	Accuracy: 0.500	 Current training data: 400
Train Episode: 7	Loss: 1.098977	Accuracy: 0.505	 Current training data: 400
Train Episode: 8	Loss: 1.025262	Accuracy: 0.580	 Current training data: 400
Train Episode: 9	Loss: 1.240168	Accuracy: 0.450	 Current training data: 400
Train Episode: 10	Loss: 1.476977	Accuracy: 0.465	 Current training data: 400
Train Episode: 11	Loss: 1.309652	Accuracy: 0.390	 Current training data: 400
Train Episode: 12	Loss: 0.990443	Accuracy: 0.535	 Current training data: 400
Train Episode: 13	Loss: 0.923865	Accuracy: 0.580	 Current training data: 400
Train Episode: 14	Loss: 1.001328	Accuracy: 0.580	 Current training data: 400
Train Episode: 15	Loss: 1.300889	Accuracy: 0.530	 Current training data: 400
Train Episode: 16	Loss: 1.175272	Accuracy: 0.645	 Current training data: 400
Train Episode: 17	Loss: 1.210529	Accuracy: 0.560	 Current training data: 400
Train Episode: 18	Loss: 1.176763	Accuracy: 0.470	 Current training data: 400
Train Episode: 19	Loss: 1.137848	Accuracy: 0.480	 Current training data: 400
Train Episode: 20	Loss: 1.026666	Accuracy: 0.560	 Current training data: 400
