Runner Episode: 1	Loss: 2.125571	Accuracy: 0.640 	 Current Training Data Per Class: 130
Runner Episode: 2	Loss: 1.419138	Accuracy: 0.780 	 Current Training Data Per Class: 130
Runner Episode: 3	Loss: 4.359451	Accuracy: 0.550 	 Current Training Data Per Class: 130
Runner Episode: 4	Loss: 3.977924	Accuracy: 0.540 	 Current Training Data Per Class: 130
Runner Episode: 5	Loss: 1.654488	Accuracy: 0.750 	 Current Training Data Per Class: 130
Runner Episode: 6	Loss: 2.142774	Accuracy: 0.640 	 Current Training Data Per Class: 130
Runner Episode: 7	Loss: 2.447566	Accuracy: 0.660 	 Current Training Data Per Class: 130
Runner Episode: 8	Loss: 2.926226	Accuracy: 0.610 	 Current Training Data Per Class: 130
Runner Episode: 9	Loss: 3.887218	Accuracy: 0.630 	 Current Training Data Per Class: 130
Runner Episode: 10	Loss: 1.951138	Accuracy: 0.750 	 Current Training Data Per Class: 130
Runner Episode: 11	Loss: 2.026119	Accuracy: 0.680 	 Current Training Data Per Class: 130
Runner Episode: 12	Loss: 2.879575	Accuracy: 0.650 	 Current Training Data Per Class: 130
Runner Episode: 13	Loss: 2.512692	Accuracy: 0.670 	 Current Training Data Per Class: 130
Runner Episode: 14	Loss: 1.330190	Accuracy: 0.740 	 Current Training Data Per Class: 130
Runner Episode: 15	Loss: 1.438816	Accuracy: 0.750 	 Current Training Data Per Class: 130
Runner Episode: 16	Loss: 2.793108	Accuracy: 0.650 	 Current Training Data Per Class: 130
Runner Episode: 17	Loss: 6.596492	Accuracy: 0.540 	 Current Training Data Per Class: 130
Runner Episode: 18	Loss: 2.290134	Accuracy: 0.650 	 Current Training Data Per Class: 130
Runner Episode: 19	Loss: 1.980939	Accuracy: 0.690 	 Current Training Data Per Class: 130
Runner Episode: 20	Loss: 3.164282	Accuracy: 0.590 	 Current Training Data Per Class: 130
Runner Episode: 21	Loss: 1.866910	Accuracy: 0.700 	 Current Training Data Per Class: 130
Runner Episode: 22	Loss: 1.213920	Accuracy: 0.800 	 Current Training Data Per Class: 130
Runner Episode: 23	Loss: 2.485688	Accuracy: 0.650 	 Current Training Data Per Class: 130
Runner Episode: 24	Loss: 1.712625	Accuracy: 0.700 	 Current Training Data Per Class: 130
Runner Episode: 25	Loss: 1.614210	Accuracy: 0.740 	 Current Training Data Per Class: 130
Runner Episode: 26	Loss: 3.737282	Accuracy: 0.530 	 Current Training Data Per Class: 130
Runner Episode: 27	Loss: 1.687658	Accuracy: 0.670 	 Current Training Data Per Class: 130
Runner Episode: 28	Loss: 2.056448	Accuracy: 0.710 	 Current Training Data Per Class: 130
Runner Episode: 29	Loss: 2.482593	Accuracy: 0.660 	 Current Training Data Per Class: 130
Runner Episode: 30	Loss: 1.077146	Accuracy: 0.780 	 Current Training Data Per Class: 130
Runner Episode: 31	Loss: 1.803582	Accuracy: 0.710 	 Current Training Data Per Class: 130
Runner Episode: 32	Loss: 1.169038	Accuracy: 0.800 	 Current Training Data Per Class: 130
Runner Episode: 33	Loss: 2.561709	Accuracy: 0.690 	 Current Training Data Per Class: 130
Runner Episode: 34	Loss: 2.597836	Accuracy: 0.670 	 Current Training Data Per Class: 130
Runner Episode: 35	Loss: 2.754625	Accuracy: 0.700 	 Current Training Data Per Class: 130
Runner Episode: 36	Loss: 3.035465	Accuracy: 0.660 	 Current Training Data Per Class: 130
Runner Episode: 37	Loss: 2.732772	Accuracy: 0.620 	 Current Training Data Per Class: 130
Runner Episode: 38	Loss: 2.242283	Accuracy: 0.710 	 Current Training Data Per Class: 130
Runner Episode: 39	Loss: 2.498903	Accuracy: 0.570 	 Current Training Data Per Class: 130
Runner Episode: 40	Loss: 1.954559	Accuracy: 0.730 	 Current Training Data Per Class: 130
Runner Episode: 41	Loss: 1.450826	Accuracy: 0.780 	 Current Training Data Per Class: 130
Runner Episode: 42	Loss: 3.004514	Accuracy: 0.610 	 Current Training Data Per Class: 130
Runner Episode: 43	Loss: 3.899209	Accuracy: 0.590 	 Current Training Data Per Class: 130
Runner Episode: 44	Loss: 3.221395	Accuracy: 0.580 	 Current Training Data Per Class: 130
Runner Episode: 45	Loss: 1.649148	Accuracy: 0.760 	 Current Training Data Per Class: 130
Runner Episode: 46	Loss: 2.970048	Accuracy: 0.720 	 Current Training Data Per Class: 130
Runner Episode: 47	Loss: 2.738980	Accuracy: 0.620 	 Current Training Data Per Class: 130
Runner Episode: 48	Loss: 1.219431	Accuracy: 0.820 	 Current Training Data Per Class: 130
Runner Episode: 49	Loss: 3.729202	Accuracy: 0.570 	 Current Training Data Per Class: 130
Runner Episode: 50	Loss: 0.925059	Accuracy: 0.830 	 Current Training Data Per Class: 130
Runner Episode: 51	Loss: 1.891745	Accuracy: 0.730 	 Current Training Data Per Class: 130
Runner Episode: 52	Loss: 1.699421	Accuracy: 0.720 	 Current Training Data Per Class: 130
Runner Episode: 53	Loss: 3.538869	Accuracy: 0.610 	 Current Training Data Per Class: 130
Runner Episode: 54	Loss: 2.502622	Accuracy: 0.670 	 Current Training Data Per Class: 130
Runner Episode: 55	Loss: 2.166907	Accuracy: 0.610 	 Current Training Data Per Class: 130
Runner Episode: 56	Loss: 2.545479	Accuracy: 0.650 	 Current Training Data Per Class: 130
Runner Episode: 57	Loss: 1.817815	Accuracy: 0.680 	 Current Training Data Per Class: 130
Runner Episode: 58	Loss: 2.470823	Accuracy: 0.640 	 Current Training Data Per Class: 130
Runner Episode: 59	Loss: 2.211813	Accuracy: 0.680 	 Current Training Data Per Class: 130
Runner Episode: 60	Loss: 3.212038	Accuracy: 0.670 	 Current Training Data Per Class: 130
Runner Episode: 61	Loss: 3.172250	Accuracy: 0.560 	 Current Training Data Per Class: 130
Runner Episode: 62	Loss: 2.126619	Accuracy: 0.710 	 Current Training Data Per Class: 130
Runner Episode: 63	Loss: 2.224018	Accuracy: 0.650 	 Current Training Data Per Class: 130
Runner Episode: 64	Loss: 3.362107	Accuracy: 0.540 	 Current Training Data Per Class: 130
Runner Episode: 65	Loss: 2.144250	Accuracy: 0.690 	 Current Training Data Per Class: 130
Runner Episode: 66	Loss: 2.561810	Accuracy: 0.610 	 Current Training Data Per Class: 130
Runner Episode: 67	Loss: 3.935744	Accuracy: 0.530 	 Current Training Data Per Class: 130
Runner Episode: 68	Loss: 2.745321	Accuracy: 0.630 	 Current Training Data Per Class: 130
Runner Episode: 69	Loss: 3.447956	Accuracy: 0.570 	 Current Training Data Per Class: 130
Runner Episode: 70	Loss: 1.528187	Accuracy: 0.750 	 Current Training Data Per Class: 130
Runner Episode: 71	Loss: 2.644106	Accuracy: 0.600 	 Current Training Data Per Class: 130
Runner Episode: 72	Loss: 2.069548	Accuracy: 0.690 	 Current Training Data Per Class: 130
Runner Episode: 73	Loss: 3.431862	Accuracy: 0.610 	 Current Training Data Per Class: 130
Runner Episode: 74	Loss: 2.326009	Accuracy: 0.640 	 Current Training Data Per Class: 130
Runner Episode: 75	Loss: 3.954874	Accuracy: 0.560 	 Current Training Data Per Class: 130
Runner Episode: 76	Loss: 2.053341	Accuracy: 0.680 	 Current Training Data Per Class: 130
Runner Episode: 77	Loss: 4.391438	Accuracy: 0.560 	 Current Training Data Per Class: 130
Runner Episode: 78	Loss: 3.166800	Accuracy: 0.620 	 Current Training Data Per Class: 130
Runner Episode: 79	Loss: 4.674762	Accuracy: 0.390 	 Current Training Data Per Class: 130
Runner Episode: 80	Loss: 2.877361	Accuracy: 0.620 	 Current Training Data Per Class: 130
Runner Episode: 81	Loss: 1.184276	Accuracy: 0.730 	 Current Training Data Per Class: 130
Runner Episode: 82	Loss: 1.700500	Accuracy: 0.770 	 Current Training Data Per Class: 130
Runner Episode: 83	Loss: 1.049263	Accuracy: 0.810 	 Current Training Data Per Class: 130
Runner Episode: 84	Loss: 1.698496	Accuracy: 0.730 	 Current Training Data Per Class: 130
Runner Episode: 85	Loss: 3.330284	Accuracy: 0.570 	 Current Training Data Per Class: 130
Runner Episode: 86	Loss: 1.429858	Accuracy: 0.780 	 Current Training Data Per Class: 130
Runner Episode: 87	Loss: 1.158690	Accuracy: 0.760 	 Current Training Data Per Class: 130
Runner Episode: 88	Loss: 2.138562	Accuracy: 0.730 	 Current Training Data Per Class: 130
Runner Episode: 89	Loss: 3.191104	Accuracy: 0.520 	 Current Training Data Per Class: 130
Runner Episode: 90	Loss: 2.990448	Accuracy: 0.590 	 Current Training Data Per Class: 130
Runner Episode: 91	Loss: 2.470820	Accuracy: 0.660 	 Current Training Data Per Class: 130
Runner Episode: 92	Loss: 3.253904	Accuracy: 0.650 	 Current Training Data Per Class: 130
Runner Episode: 93	Loss: 2.647385	Accuracy: 0.670 	 Current Training Data Per Class: 130
Runner Episode: 94	Loss: 2.693776	Accuracy: 0.660 	 Current Training Data Per Class: 130
Runner Episode: 95	Loss: 1.597299	Accuracy: 0.710 	 Current Training Data Per Class: 130
Runner Episode: 96	Loss: 0.822401	Accuracy: 0.840 	 Current Training Data Per Class: 130
Runner Episode: 97	Loss: 1.436098	Accuracy: 0.750 	 Current Training Data Per Class: 130
Runner Episode: 98	Loss: 3.704861	Accuracy: 0.520 	 Current Training Data Per Class: 130
Runner Episode: 99	Loss: 1.710652	Accuracy: 0.710 	 Current Training Data Per Class: 130
Runner Episode: 100	Loss: 2.410694	Accuracy: 0.690 	 Current Training Data Per Class: 130
