Runner Episode: 1	Loss: 0.587995	Accuracy: 0.770 	 Current Training Data Per Class: 60
Runner Episode: 2	Loss: 0.403570	Accuracy: 0.830 	 Current Training Data Per Class: 60
Runner Episode: 3	Loss: 0.594488	Accuracy: 0.870 	 Current Training Data Per Class: 60
Runner Episode: 4	Loss: 0.656188	Accuracy: 0.720 	 Current Training Data Per Class: 60
Runner Episode: 5	Loss: 0.620210	Accuracy: 0.820 	 Current Training Data Per Class: 60
Runner Episode: 6	Loss: 1.107658	Accuracy: 0.620 	 Current Training Data Per Class: 60
Runner Episode: 7	Loss: 0.806176	Accuracy: 0.680 	 Current Training Data Per Class: 60
Runner Episode: 8	Loss: 0.635389	Accuracy: 0.810 	 Current Training Data Per Class: 60
Runner Episode: 9	Loss: 0.515714	Accuracy: 0.820 	 Current Training Data Per Class: 60
Runner Episode: 10	Loss: 0.491161	Accuracy: 0.830 	 Current Training Data Per Class: 60
Runner Episode: 11	Loss: 0.552938	Accuracy: 0.760 	 Current Training Data Per Class: 60
Runner Episode: 12	Loss: 0.620647	Accuracy: 0.810 	 Current Training Data Per Class: 60
Runner Episode: 13	Loss: 0.498351	Accuracy: 0.830 	 Current Training Data Per Class: 60
Runner Episode: 14	Loss: 0.572744	Accuracy: 0.790 	 Current Training Data Per Class: 60
Runner Episode: 15	Loss: 0.504846	Accuracy: 0.820 	 Current Training Data Per Class: 60
Runner Episode: 16	Loss: 0.625860	Accuracy: 0.760 	 Current Training Data Per Class: 60
Runner Episode: 17	Loss: 0.291450	Accuracy: 0.890 	 Current Training Data Per Class: 60
Runner Episode: 18	Loss: 0.937984	Accuracy: 0.690 	 Current Training Data Per Class: 60
Runner Episode: 19	Loss: 0.472563	Accuracy: 0.870 	 Current Training Data Per Class: 60
Runner Episode: 20	Loss: 0.569652	Accuracy: 0.820 	 Current Training Data Per Class: 60
Runner Episode: 21	Loss: 0.488792	Accuracy: 0.870 	 Current Training Data Per Class: 60
Runner Episode: 22	Loss: 0.717317	Accuracy: 0.760 	 Current Training Data Per Class: 60
Runner Episode: 23	Loss: 0.513592	Accuracy: 0.810 	 Current Training Data Per Class: 60
Runner Episode: 24	Loss: 0.694048	Accuracy: 0.780 	 Current Training Data Per Class: 60
Runner Episode: 25	Loss: 0.513414	Accuracy: 0.860 	 Current Training Data Per Class: 60
Runner Episode: 26	Loss: 0.545878	Accuracy: 0.820 	 Current Training Data Per Class: 60
Runner Episode: 27	Loss: 0.592686	Accuracy: 0.770 	 Current Training Data Per Class: 60
Runner Episode: 28	Loss: 0.573389	Accuracy: 0.820 	 Current Training Data Per Class: 60
Runner Episode: 29	Loss: 0.615271	Accuracy: 0.790 	 Current Training Data Per Class: 60
Runner Episode: 30	Loss: 0.531260	Accuracy: 0.780 	 Current Training Data Per Class: 60
Runner Episode: 31	Loss: 0.510173	Accuracy: 0.830 	 Current Training Data Per Class: 60
Runner Episode: 32	Loss: 0.704458	Accuracy: 0.770 	 Current Training Data Per Class: 60
Runner Episode: 33	Loss: 0.489929	Accuracy: 0.840 	 Current Training Data Per Class: 60
Runner Episode: 34	Loss: 0.520609	Accuracy: 0.840 	 Current Training Data Per Class: 60
Runner Episode: 35	Loss: 0.235300	Accuracy: 0.930 	 Current Training Data Per Class: 60
Runner Episode: 36	Loss: 0.761393	Accuracy: 0.710 	 Current Training Data Per Class: 60
Runner Episode: 37	Loss: 0.551396	Accuracy: 0.830 	 Current Training Data Per Class: 60
Runner Episode: 38	Loss: 0.714230	Accuracy: 0.740 	 Current Training Data Per Class: 60
Runner Episode: 39	Loss: 0.657641	Accuracy: 0.830 	 Current Training Data Per Class: 60
Runner Episode: 40	Loss: 0.431782	Accuracy: 0.830 	 Current Training Data Per Class: 60
