Runner Episode: 1	Loss: 0.622789	Accuracy: 0.780 	 Current Training Data Per Class: 190
Runner Episode: 2	Loss: 0.615377	Accuracy: 0.770 	 Current Training Data Per Class: 190
Runner Episode: 3	Loss: 0.534243	Accuracy: 0.820 	 Current Training Data Per Class: 190
Runner Episode: 4	Loss: 0.658551	Accuracy: 0.780 	 Current Training Data Per Class: 190
Runner Episode: 5	Loss: 0.705239	Accuracy: 0.730 	 Current Training Data Per Class: 190
Runner Episode: 6	Loss: 0.331995	Accuracy: 0.900 	 Current Training Data Per Class: 190
Runner Episode: 7	Loss: 0.477998	Accuracy: 0.820 	 Current Training Data Per Class: 190
Runner Episode: 8	Loss: 0.336175	Accuracy: 0.870 	 Current Training Data Per Class: 190
Runner Episode: 9	Loss: 0.681335	Accuracy: 0.720 	 Current Training Data Per Class: 190
Runner Episode: 10	Loss: 0.852480	Accuracy: 0.730 	 Current Training Data Per Class: 190
Runner Episode: 11	Loss: 0.615321	Accuracy: 0.740 	 Current Training Data Per Class: 190
Runner Episode: 12	Loss: 0.359739	Accuracy: 0.900 	 Current Training Data Per Class: 190
Runner Episode: 13	Loss: 0.464793	Accuracy: 0.870 	 Current Training Data Per Class: 190
Runner Episode: 14	Loss: 0.553923	Accuracy: 0.770 	 Current Training Data Per Class: 190
Runner Episode: 15	Loss: 0.580934	Accuracy: 0.800 	 Current Training Data Per Class: 190
Runner Episode: 16	Loss: 0.197678	Accuracy: 0.930 	 Current Training Data Per Class: 190
Runner Episode: 17	Loss: 0.478932	Accuracy: 0.810 	 Current Training Data Per Class: 190
Runner Episode: 18	Loss: 0.408210	Accuracy: 0.880 	 Current Training Data Per Class: 190
Runner Episode: 19	Loss: 0.608217	Accuracy: 0.840 	 Current Training Data Per Class: 190
Runner Episode: 20	Loss: 0.569968	Accuracy: 0.780 	 Current Training Data Per Class: 190
Runner Episode: 21	Loss: 0.486807	Accuracy: 0.820 	 Current Training Data Per Class: 190
Runner Episode: 22	Loss: 1.017799	Accuracy: 0.690 	 Current Training Data Per Class: 190
Runner Episode: 23	Loss: 0.816865	Accuracy: 0.700 	 Current Training Data Per Class: 190
Runner Episode: 24	Loss: 0.506972	Accuracy: 0.830 	 Current Training Data Per Class: 190
Runner Episode: 25	Loss: 1.078375	Accuracy: 0.670 	 Current Training Data Per Class: 190
Runner Episode: 26	Loss: 1.402958	Accuracy: 0.640 	 Current Training Data Per Class: 190
Runner Episode: 27	Loss: 0.751215	Accuracy: 0.800 	 Current Training Data Per Class: 190
Runner Episode: 28	Loss: 0.585765	Accuracy: 0.770 	 Current Training Data Per Class: 190
Runner Episode: 29	Loss: 1.014235	Accuracy: 0.710 	 Current Training Data Per Class: 190
Runner Episode: 30	Loss: 0.573114	Accuracy: 0.780 	 Current Training Data Per Class: 190
Runner Episode: 31	Loss: 0.547684	Accuracy: 0.800 	 Current Training Data Per Class: 190
Runner Episode: 32	Loss: 0.535851	Accuracy: 0.830 	 Current Training Data Per Class: 190
Runner Episode: 33	Loss: 0.567295	Accuracy: 0.770 	 Current Training Data Per Class: 190
Runner Episode: 34	Loss: 0.619129	Accuracy: 0.750 	 Current Training Data Per Class: 190
Runner Episode: 35	Loss: 0.569202	Accuracy: 0.830 	 Current Training Data Per Class: 190
Runner Episode: 36	Loss: 1.198952	Accuracy: 0.640 	 Current Training Data Per Class: 190
Runner Episode: 37	Loss: 0.450526	Accuracy: 0.840 	 Current Training Data Per Class: 190
Runner Episode: 38	Loss: 0.692004	Accuracy: 0.780 	 Current Training Data Per Class: 190
Runner Episode: 39	Loss: 0.713102	Accuracy: 0.780 	 Current Training Data Per Class: 190
Runner Episode: 40	Loss: 0.620010	Accuracy: 0.800 	 Current Training Data Per Class: 190
Runner Episode: 41	Loss: 0.737013	Accuracy: 0.720 	 Current Training Data Per Class: 190
Runner Episode: 42	Loss: 0.759987	Accuracy: 0.780 	 Current Training Data Per Class: 190
Runner Episode: 43	Loss: 0.420334	Accuracy: 0.800 	 Current Training Data Per Class: 190
Runner Episode: 44	Loss: 0.723283	Accuracy: 0.780 	 Current Training Data Per Class: 190
Runner Episode: 45	Loss: 0.549428	Accuracy: 0.730 	 Current Training Data Per Class: 190
Runner Episode: 46	Loss: 0.471269	Accuracy: 0.850 	 Current Training Data Per Class: 190
Runner Episode: 47	Loss: 0.747910	Accuracy: 0.790 	 Current Training Data Per Class: 190
Runner Episode: 48	Loss: 0.384870	Accuracy: 0.890 	 Current Training Data Per Class: 190
Runner Episode: 49	Loss: 0.686904	Accuracy: 0.740 	 Current Training Data Per Class: 190
Runner Episode: 50	Loss: 1.060766	Accuracy: 0.700 	 Current Training Data Per Class: 190
