Runner Episode: 1	Loss: 89.888817	Accuracy: 0.290 	 Current Training Data Per Class: 170
Runner Episode: 2	Loss: 65.705070	Accuracy: 0.370 	 Current Training Data Per Class: 170
Runner Episode: 3	Loss: 127.625114	Accuracy: 0.250 	 Current Training Data Per Class: 170
Runner Episode: 4	Loss: 68.503265	Accuracy: 0.250 	 Current Training Data Per Class: 170
Runner Episode: 5	Loss: 45.149902	Accuracy: 0.460 	 Current Training Data Per Class: 170
Runner Episode: 6	Loss: 61.069874	Accuracy: 0.410 	 Current Training Data Per Class: 170
Runner Episode: 7	Loss: 71.143440	Accuracy: 0.470 	 Current Training Data Per Class: 170
Runner Episode: 8	Loss: 80.678535	Accuracy: 0.470 	 Current Training Data Per Class: 170
Runner Episode: 9	Loss: 59.951031	Accuracy: 0.280 	 Current Training Data Per Class: 170
Runner Episode: 10	Loss: 92.564980	Accuracy: 0.440 	 Current Training Data Per Class: 170
Runner Episode: 11	Loss: 26.371906	Accuracy: 0.550 	 Current Training Data Per Class: 170
Runner Episode: 12	Loss: 74.255554	Accuracy: 0.450 	 Current Training Data Per Class: 170
Runner Episode: 13	Loss: 54.960506	Accuracy: 0.460 	 Current Training Data Per Class: 170
Runner Episode: 14	Loss: 123.281593	Accuracy: 0.270 	 Current Training Data Per Class: 170
Runner Episode: 15	Loss: 87.481590	Accuracy: 0.400 	 Current Training Data Per Class: 170
Runner Episode: 16	Loss: 31.115000	Accuracy: 0.700 	 Current Training Data Per Class: 170
Runner Episode: 17	Loss: 203.135101	Accuracy: 0.390 	 Current Training Data Per Class: 170
Runner Episode: 18	Loss: 98.130829	Accuracy: 0.320 	 Current Training Data Per Class: 170
Runner Episode: 19	Loss: 59.078609	Accuracy: 0.400 	 Current Training Data Per Class: 170
Runner Episode: 20	Loss: 61.401314	Accuracy: 0.530 	 Current Training Data Per Class: 170
Runner Episode: 21	Loss: 25.740717	Accuracy: 0.560 	 Current Training Data Per Class: 170
Runner Episode: 22	Loss: 107.288216	Accuracy: 0.370 	 Current Training Data Per Class: 170
Runner Episode: 23	Loss: 67.185257	Accuracy: 0.330 	 Current Training Data Per Class: 170
Runner Episode: 24	Loss: 54.787186	Accuracy: 0.390 	 Current Training Data Per Class: 170
Runner Episode: 25	Loss: 52.713711	Accuracy: 0.410 	 Current Training Data Per Class: 170
Runner Episode: 26	Loss: 42.229321	Accuracy: 0.250 	 Current Training Data Per Class: 170
Runner Episode: 27	Loss: 37.540863	Accuracy: 0.550 	 Current Training Data Per Class: 170
Runner Episode: 28	Loss: 42.031506	Accuracy: 0.490 	 Current Training Data Per Class: 170
Runner Episode: 29	Loss: 65.517502	Accuracy: 0.510 	 Current Training Data Per Class: 170
Runner Episode: 30	Loss: 27.161758	Accuracy: 0.570 	 Current Training Data Per Class: 170
Runner Episode: 31	Loss: 57.889557	Accuracy: 0.440 	 Current Training Data Per Class: 170
Runner Episode: 32	Loss: 75.393044	Accuracy: 0.400 	 Current Training Data Per Class: 170
Runner Episode: 33	Loss: 66.100182	Accuracy: 0.360 	 Current Training Data Per Class: 170
Runner Episode: 34	Loss: 80.582397	Accuracy: 0.340 	 Current Training Data Per Class: 170
Runner Episode: 35	Loss: 65.018250	Accuracy: 0.470 	 Current Training Data Per Class: 170
Runner Episode: 36	Loss: 68.819847	Accuracy: 0.380 	 Current Training Data Per Class: 170
Runner Episode: 37	Loss: 142.427444	Accuracy: 0.250 	 Current Training Data Per Class: 170
Runner Episode: 38	Loss: 47.398880	Accuracy: 0.450 	 Current Training Data Per Class: 170
Runner Episode: 39	Loss: 72.187340	Accuracy: 0.390 	 Current Training Data Per Class: 170
Runner Episode: 40	Loss: 58.512924	Accuracy: 0.310 	 Current Training Data Per Class: 170
Runner Episode: 41	Loss: 98.029678	Accuracy: 0.260 	 Current Training Data Per Class: 170
Runner Episode: 42	Loss: 68.032143	Accuracy: 0.360 	 Current Training Data Per Class: 170
Runner Episode: 43	Loss: 87.229042	Accuracy: 0.420 	 Current Training Data Per Class: 170
Runner Episode: 44	Loss: 53.799347	Accuracy: 0.340 	 Current Training Data Per Class: 170
Runner Episode: 45	Loss: 42.646942	Accuracy: 0.430 	 Current Training Data Per Class: 170
Runner Episode: 46	Loss: 116.783134	Accuracy: 0.330 	 Current Training Data Per Class: 170
Runner Episode: 47	Loss: 45.144585	Accuracy: 0.370 	 Current Training Data Per Class: 170
