Runner Episode: 1	Loss: 0.561359	Accuracy: 0.770 	 Current Training Data Per Class: 70
Runner Episode: 2	Loss: 0.766804	Accuracy: 0.730 	 Current Training Data Per Class: 70
Runner Episode: 3	Loss: 0.510114	Accuracy: 0.810 	 Current Training Data Per Class: 70
Runner Episode: 4	Loss: 0.431828	Accuracy: 0.870 	 Current Training Data Per Class: 70
Runner Episode: 5	Loss: 0.891153	Accuracy: 0.730 	 Current Training Data Per Class: 70
Runner Episode: 6	Loss: 0.303493	Accuracy: 0.900 	 Current Training Data Per Class: 70
Runner Episode: 7	Loss: 0.544367	Accuracy: 0.840 	 Current Training Data Per Class: 70
Runner Episode: 8	Loss: 0.433620	Accuracy: 0.840 	 Current Training Data Per Class: 70
Runner Episode: 9	Loss: 0.672400	Accuracy: 0.790 	 Current Training Data Per Class: 70
Runner Episode: 10	Loss: 0.437385	Accuracy: 0.850 	 Current Training Data Per Class: 70
Runner Episode: 11	Loss: 0.586460	Accuracy: 0.780 	 Current Training Data Per Class: 70
Runner Episode: 12	Loss: 0.487244	Accuracy: 0.770 	 Current Training Data Per Class: 70
Runner Episode: 13	Loss: 0.302993	Accuracy: 0.890 	 Current Training Data Per Class: 70
Runner Episode: 14	Loss: 0.606515	Accuracy: 0.770 	 Current Training Data Per Class: 70
Runner Episode: 15	Loss: 0.412943	Accuracy: 0.870 	 Current Training Data Per Class: 70
Runner Episode: 16	Loss: 0.363069	Accuracy: 0.850 	 Current Training Data Per Class: 70
Runner Episode: 17	Loss: 0.354519	Accuracy: 0.840 	 Current Training Data Per Class: 70
Runner Episode: 18	Loss: 0.476979	Accuracy: 0.830 	 Current Training Data Per Class: 70
Runner Episode: 19	Loss: 0.436839	Accuracy: 0.870 	 Current Training Data Per Class: 70
Runner Episode: 20	Loss: 0.667224	Accuracy: 0.730 	 Current Training Data Per Class: 70
Runner Episode: 21	Loss: 0.639133	Accuracy: 0.730 	 Current Training Data Per Class: 70
Runner Episode: 22	Loss: 0.864061	Accuracy: 0.680 	 Current Training Data Per Class: 70
Runner Episode: 23	Loss: 0.363900	Accuracy: 0.870 	 Current Training Data Per Class: 70
Runner Episode: 24	Loss: 0.428664	Accuracy: 0.870 	 Current Training Data Per Class: 70
Runner Episode: 25	Loss: 0.700962	Accuracy: 0.710 	 Current Training Data Per Class: 70
Runner Episode: 26	Loss: 0.568370	Accuracy: 0.780 	 Current Training Data Per Class: 70
Runner Episode: 27	Loss: 0.751499	Accuracy: 0.780 	 Current Training Data Per Class: 70
Runner Episode: 28	Loss: 0.475435	Accuracy: 0.840 	 Current Training Data Per Class: 70
Runner Episode: 29	Loss: 0.455089	Accuracy: 0.850 	 Current Training Data Per Class: 70
Runner Episode: 30	Loss: 0.370925	Accuracy: 0.890 	 Current Training Data Per Class: 70
Runner Episode: 31	Loss: 0.681482	Accuracy: 0.770 	 Current Training Data Per Class: 70
Runner Episode: 32	Loss: 0.416387	Accuracy: 0.860 	 Current Training Data Per Class: 70
Runner Episode: 33	Loss: 0.525548	Accuracy: 0.780 	 Current Training Data Per Class: 70
Runner Episode: 34	Loss: 0.446219	Accuracy: 0.810 	 Current Training Data Per Class: 70
Runner Episode: 35	Loss: 0.367311	Accuracy: 0.860 	 Current Training Data Per Class: 70
Runner Episode: 36	Loss: 0.718929	Accuracy: 0.730 	 Current Training Data Per Class: 70
Runner Episode: 37	Loss: 0.484507	Accuracy: 0.830 	 Current Training Data Per Class: 70
Runner Episode: 38	Loss: 0.752537	Accuracy: 0.760 	 Current Training Data Per Class: 70
Runner Episode: 39	Loss: 0.682023	Accuracy: 0.760 	 Current Training Data Per Class: 70
Runner Episode: 40	Loss: 0.417018	Accuracy: 0.850 	 Current Training Data Per Class: 70
Runner Episode: 41	Loss: 0.650872	Accuracy: 0.780 	 Current Training Data Per Class: 70
Runner Episode: 42	Loss: 0.638477	Accuracy: 0.760 	 Current Training Data Per Class: 70
Runner Episode: 43	Loss: 0.622754	Accuracy: 0.740 	 Current Training Data Per Class: 70
Runner Episode: 44	Loss: 0.550177	Accuracy: 0.740 	 Current Training Data Per Class: 70
Runner Episode: 45	Loss: 0.716024	Accuracy: 0.630 	 Current Training Data Per Class: 70
Runner Episode: 46	Loss: 0.430346	Accuracy: 0.830 	 Current Training Data Per Class: 70
Runner Episode: 47	Loss: 0.607565	Accuracy: 0.790 	 Current Training Data Per Class: 70
Runner Episode: 48	Loss: 0.269729	Accuracy: 0.880 	 Current Training Data Per Class: 70
Runner Episode: 49	Loss: 0.516515	Accuracy: 0.870 	 Current Training Data Per Class: 70
Runner Episode: 50	Loss: 0.689619	Accuracy: 0.780 	 Current Training Data Per Class: 70
