Train Episode: 1	Loss: 0.469414	Accuracy: 0.850	 Current training data: 30
Train Episode: 2	Loss: 0.944417	Accuracy: 0.690	 Current training data: 30
Train Episode: 3	Loss: 0.922067	Accuracy: 0.610	 Current training data: 30
Train Episode: 4	Loss: 0.485200	Accuracy: 0.840	 Current training data: 30
Train Episode: 5	Loss: 0.700220	Accuracy: 0.780	 Current training data: 30
Train Episode: 6	Loss: 0.608560	Accuracy: 0.800	 Current training data: 30
Train Episode: 7	Loss: 0.820083	Accuracy: 0.750	 Current training data: 30
Train Episode: 8	Loss: 0.759028	Accuracy: 0.720	 Current training data: 30
Train Episode: 9	Loss: 0.591068	Accuracy: 0.780	 Current training data: 30
Train Episode: 10	Loss: 0.980955	Accuracy: 0.690	 Current training data: 30
Train Episode: 11	Loss: 0.992504	Accuracy: 0.690	 Current training data: 30
Train Episode: 12	Loss: 0.891572	Accuracy: 0.700	 Current training data: 30
Train Episode: 13	Loss: 0.340240	Accuracy: 0.880	 Current training data: 30
Train Episode: 14	Loss: 0.684721	Accuracy: 0.750	 Current training data: 30
Train Episode: 15	Loss: 0.495307	Accuracy: 0.820	 Current training data: 30
Train Episode: 16	Loss: 0.596020	Accuracy: 0.780	 Current training data: 30
Train Episode: 17	Loss: 0.351311	Accuracy: 0.920	 Current training data: 30
Train Episode: 18	Loss: 0.624569	Accuracy: 0.820	 Current training data: 30
Train Episode: 19	Loss: 0.327706	Accuracy: 0.890	 Current training data: 30
Train Episode: 20	Loss: 0.942024	Accuracy: 0.610	 Current training data: 30
