Runner Episode: 1	Loss: 0.267267	Accuracy: 0.910 	 Current Training Data Per Class: 110
Runner Episode: 2	Loss: 0.580084	Accuracy: 0.820 	 Current Training Data Per Class: 110
Runner Episode: 3	Loss: 0.614168	Accuracy: 0.800 	 Current Training Data Per Class: 110
Runner Episode: 4	Loss: 0.689354	Accuracy: 0.770 	 Current Training Data Per Class: 110
Runner Episode: 5	Loss: 0.458091	Accuracy: 0.870 	 Current Training Data Per Class: 110
Runner Episode: 6	Loss: 0.640830	Accuracy: 0.800 	 Current Training Data Per Class: 110
Runner Episode: 7	Loss: 0.397498	Accuracy: 0.870 	 Current Training Data Per Class: 110
Runner Episode: 8	Loss: 0.502898	Accuracy: 0.830 	 Current Training Data Per Class: 110
Runner Episode: 9	Loss: 0.488175	Accuracy: 0.870 	 Current Training Data Per Class: 110
Runner Episode: 10	Loss: 0.643737	Accuracy: 0.730 	 Current Training Data Per Class: 110
Runner Episode: 11	Loss: 0.824013	Accuracy: 0.770 	 Current Training Data Per Class: 110
Runner Episode: 12	Loss: 0.882554	Accuracy: 0.660 	 Current Training Data Per Class: 110
Runner Episode: 13	Loss: 0.523778	Accuracy: 0.840 	 Current Training Data Per Class: 110
Runner Episode: 14	Loss: 0.418660	Accuracy: 0.840 	 Current Training Data Per Class: 110
Runner Episode: 15	Loss: 0.394023	Accuracy: 0.850 	 Current Training Data Per Class: 110
Runner Episode: 16	Loss: 0.867672	Accuracy: 0.760 	 Current Training Data Per Class: 110
Runner Episode: 17	Loss: 0.299314	Accuracy: 0.910 	 Current Training Data Per Class: 110
Runner Episode: 18	Loss: 1.462671	Accuracy: 0.570 	 Current Training Data Per Class: 110
Runner Episode: 19	Loss: 0.505890	Accuracy: 0.810 	 Current Training Data Per Class: 110
Runner Episode: 20	Loss: 0.889688	Accuracy: 0.740 	 Current Training Data Per Class: 110
Runner Episode: 21	Loss: 0.579487	Accuracy: 0.820 	 Current Training Data Per Class: 110
Runner Episode: 22	Loss: 0.521414	Accuracy: 0.810 	 Current Training Data Per Class: 110
Runner Episode: 23	Loss: 0.630348	Accuracy: 0.790 	 Current Training Data Per Class: 110
Runner Episode: 24	Loss: 0.783846	Accuracy: 0.710 	 Current Training Data Per Class: 110
Runner Episode: 25	Loss: 0.540884	Accuracy: 0.850 	 Current Training Data Per Class: 110
Runner Episode: 26	Loss: 0.866271	Accuracy: 0.730 	 Current Training Data Per Class: 110
Runner Episode: 27	Loss: 0.722327	Accuracy: 0.730 	 Current Training Data Per Class: 110
Runner Episode: 28	Loss: 0.433338	Accuracy: 0.860 	 Current Training Data Per Class: 110
Runner Episode: 29	Loss: 0.534440	Accuracy: 0.810 	 Current Training Data Per Class: 110
Runner Episode: 30	Loss: 0.601280	Accuracy: 0.780 	 Current Training Data Per Class: 110
Runner Episode: 31	Loss: 0.408376	Accuracy: 0.850 	 Current Training Data Per Class: 110
Runner Episode: 32	Loss: 0.538887	Accuracy: 0.860 	 Current Training Data Per Class: 110
Runner Episode: 33	Loss: 0.539524	Accuracy: 0.810 	 Current Training Data Per Class: 110
Runner Episode: 34	Loss: 0.500374	Accuracy: 0.820 	 Current Training Data Per Class: 110
Runner Episode: 35	Loss: 0.318730	Accuracy: 0.900 	 Current Training Data Per Class: 110
Runner Episode: 36	Loss: 0.751047	Accuracy: 0.690 	 Current Training Data Per Class: 110
Runner Episode: 37	Loss: 0.664681	Accuracy: 0.740 	 Current Training Data Per Class: 110
Runner Episode: 38	Loss: 0.598108	Accuracy: 0.780 	 Current Training Data Per Class: 110
Runner Episode: 39	Loss: 0.688129	Accuracy: 0.720 	 Current Training Data Per Class: 110
Runner Episode: 40	Loss: 0.487023	Accuracy: 0.800 	 Current Training Data Per Class: 110
Runner Episode: 41	Loss: 0.409948	Accuracy: 0.870 	 Current Training Data Per Class: 110
Runner Episode: 42	Loss: 0.571736	Accuracy: 0.830 	 Current Training Data Per Class: 110
Runner Episode: 43	Loss: 0.495739	Accuracy: 0.850 	 Current Training Data Per Class: 110
Runner Episode: 44	Loss: 0.767004	Accuracy: 0.680 	 Current Training Data Per Class: 110
Runner Episode: 45	Loss: 0.471661	Accuracy: 0.840 	 Current Training Data Per Class: 110
Runner Episode: 46	Loss: 0.512924	Accuracy: 0.850 	 Current Training Data Per Class: 110
Runner Episode: 47	Loss: 0.911006	Accuracy: 0.630 	 Current Training Data Per Class: 110
Runner Episode: 48	Loss: 0.262346	Accuracy: 0.910 	 Current Training Data Per Class: 110
Runner Episode: 49	Loss: 0.407919	Accuracy: 0.890 	 Current Training Data Per Class: 110
Runner Episode: 50	Loss: 0.389698	Accuracy: 0.890 	 Current Training Data Per Class: 110
Runner Episode: 51	Loss: 0.680089	Accuracy: 0.770 	 Current Training Data Per Class: 110
Runner Episode: 52	Loss: 0.552518	Accuracy: 0.820 	 Current Training Data Per Class: 110
Runner Episode: 53	Loss: 0.862161	Accuracy: 0.700 	 Current Training Data Per Class: 110
Runner Episode: 54	Loss: 0.457533	Accuracy: 0.870 	 Current Training Data Per Class: 110
Runner Episode: 55	Loss: 1.106258	Accuracy: 0.660 	 Current Training Data Per Class: 110
Runner Episode: 56	Loss: 0.617758	Accuracy: 0.750 	 Current Training Data Per Class: 110
Runner Episode: 57	Loss: 0.395675	Accuracy: 0.830 	 Current Training Data Per Class: 110
Runner Episode: 58	Loss: 0.783418	Accuracy: 0.710 	 Current Training Data Per Class: 110
Runner Episode: 59	Loss: 0.774490	Accuracy: 0.720 	 Current Training Data Per Class: 110
Runner Episode: 60	Loss: 0.859798	Accuracy: 0.690 	 Current Training Data Per Class: 110
Runner Episode: 61	Loss: 0.831777	Accuracy: 0.720 	 Current Training Data Per Class: 110
Runner Episode: 62	Loss: 0.608059	Accuracy: 0.760 	 Current Training Data Per Class: 110
Runner Episode: 63	Loss: 0.812522	Accuracy: 0.710 	 Current Training Data Per Class: 110
Runner Episode: 64	Loss: 0.803360	Accuracy: 0.730 	 Current Training Data Per Class: 110
Runner Episode: 65	Loss: 0.754242	Accuracy: 0.710 	 Current Training Data Per Class: 110
Runner Episode: 66	Loss: 0.669716	Accuracy: 0.780 	 Current Training Data Per Class: 110
Runner Episode: 67	Loss: 0.837226	Accuracy: 0.720 	 Current Training Data Per Class: 110
Runner Episode: 68	Loss: 0.699307	Accuracy: 0.690 	 Current Training Data Per Class: 110
Runner Episode: 69	Loss: 0.515392	Accuracy: 0.810 	 Current Training Data Per Class: 110
Runner Episode: 70	Loss: 0.673763	Accuracy: 0.780 	 Current Training Data Per Class: 110
Runner Episode: 71	Loss: 0.477240	Accuracy: 0.880 	 Current Training Data Per Class: 110
Runner Episode: 72	Loss: 0.779820	Accuracy: 0.680 	 Current Training Data Per Class: 110
Runner Episode: 73	Loss: 1.043166	Accuracy: 0.710 	 Current Training Data Per Class: 110
Runner Episode: 74	Loss: 0.447480	Accuracy: 0.820 	 Current Training Data Per Class: 110
Runner Episode: 75	Loss: 0.879845	Accuracy: 0.720 	 Current Training Data Per Class: 110
Runner Episode: 76	Loss: 0.770415	Accuracy: 0.680 	 Current Training Data Per Class: 110
Runner Episode: 77	Loss: 0.443643	Accuracy: 0.850 	 Current Training Data Per Class: 110
Runner Episode: 78	Loss: 0.669238	Accuracy: 0.780 	 Current Training Data Per Class: 110
Runner Episode: 79	Loss: 1.037031	Accuracy: 0.660 	 Current Training Data Per Class: 110
Runner Episode: 80	Loss: 0.389663	Accuracy: 0.820 	 Current Training Data Per Class: 110
Runner Episode: 81	Loss: 0.436202	Accuracy: 0.810 	 Current Training Data Per Class: 110
Runner Episode: 82	Loss: 0.550011	Accuracy: 0.770 	 Current Training Data Per Class: 110
Runner Episode: 83	Loss: 0.255546	Accuracy: 0.910 	 Current Training Data Per Class: 110
Runner Episode: 84	Loss: 0.879133	Accuracy: 0.750 	 Current Training Data Per Class: 110
Runner Episode: 85	Loss: 0.481329	Accuracy: 0.840 	 Current Training Data Per Class: 110
Runner Episode: 86	Loss: 0.630240	Accuracy: 0.750 	 Current Training Data Per Class: 110
Runner Episode: 87	Loss: 0.567328	Accuracy: 0.810 	 Current Training Data Per Class: 110
Runner Episode: 88	Loss: 0.504679	Accuracy: 0.830 	 Current Training Data Per Class: 110
Runner Episode: 89	Loss: 0.626025	Accuracy: 0.770 	 Current Training Data Per Class: 110
Runner Episode: 90	Loss: 0.737877	Accuracy: 0.730 	 Current Training Data Per Class: 110
Runner Episode: 91	Loss: 0.551831	Accuracy: 0.800 	 Current Training Data Per Class: 110
Runner Episode: 92	Loss: 0.651620	Accuracy: 0.770 	 Current Training Data Per Class: 110
Runner Episode: 93	Loss: 0.628890	Accuracy: 0.860 	 Current Training Data Per Class: 110
Runner Episode: 94	Loss: 1.085514	Accuracy: 0.640 	 Current Training Data Per Class: 110
Runner Episode: 95	Loss: 0.594841	Accuracy: 0.800 	 Current Training Data Per Class: 110
Runner Episode: 96	Loss: 0.265506	Accuracy: 0.910 	 Current Training Data Per Class: 110
Runner Episode: 97	Loss: 0.386663	Accuracy: 0.840 	 Current Training Data Per Class: 110
Runner Episode: 98	Loss: 0.722761	Accuracy: 0.720 	 Current Training Data Per Class: 110
Runner Episode: 99	Loss: 0.567257	Accuracy: 0.830 	 Current Training Data Per Class: 110
Runner Episode: 100	Loss: 0.553697	Accuracy: 0.770 	 Current Training Data Per Class: 110
