Runner Episode: 1	Loss: 1.379828	Accuracy: 0.655 	 Current Training Data Per Class: 375
Runner Episode: 2	Loss: 0.816119	Accuracy: 0.665 	 Current Training Data Per Class: 375
Runner Episode: 3	Loss: 1.205039	Accuracy: 0.670 	 Current Training Data Per Class: 375
Runner Episode: 4	Loss: 1.108729	Accuracy: 0.675 	 Current Training Data Per Class: 375
Runner Episode: 5	Loss: 1.270774	Accuracy: 0.635 	 Current Training Data Per Class: 375
Runner Episode: 6	Loss: 0.958870	Accuracy: 0.655 	 Current Training Data Per Class: 375
Runner Episode: 7	Loss: 1.141638	Accuracy: 0.660 	 Current Training Data Per Class: 375
Runner Episode: 8	Loss: 1.484437	Accuracy: 0.660 	 Current Training Data Per Class: 375
Runner Episode: 9	Loss: 1.081702	Accuracy: 0.670 	 Current Training Data Per Class: 375
Runner Episode: 10	Loss: 1.265310	Accuracy: 0.650 	 Current Training Data Per Class: 375
Runner Episode: 11	Loss: 0.984610	Accuracy: 0.705 	 Current Training Data Per Class: 375
Runner Episode: 12	Loss: 1.233036	Accuracy: 0.645 	 Current Training Data Per Class: 375
Runner Episode: 13	Loss: 1.282802	Accuracy: 0.585 	 Current Training Data Per Class: 375
Runner Episode: 14	Loss: 0.844285	Accuracy: 0.710 	 Current Training Data Per Class: 375
Runner Episode: 15	Loss: 0.978810	Accuracy: 0.675 	 Current Training Data Per Class: 375
Runner Episode: 16	Loss: 1.300108	Accuracy: 0.535 	 Current Training Data Per Class: 375
Runner Episode: 17	Loss: 0.939396	Accuracy: 0.695 	 Current Training Data Per Class: 375
Runner Episode: 18	Loss: 1.256658	Accuracy: 0.620 	 Current Training Data Per Class: 375
Runner Episode: 19	Loss: 1.070046	Accuracy: 0.670 	 Current Training Data Per Class: 375
Runner Episode: 20	Loss: 1.171311	Accuracy: 0.675 	 Current Training Data Per Class: 375
Runner Episode: 21	Loss: 1.173723	Accuracy: 0.645 	 Current Training Data Per Class: 375
Runner Episode: 22	Loss: 1.046775	Accuracy: 0.705 	 Current Training Data Per Class: 375
Runner Episode: 23	Loss: 0.854153	Accuracy: 0.680 	 Current Training Data Per Class: 375
Runner Episode: 24	Loss: 0.887369	Accuracy: 0.720 	 Current Training Data Per Class: 375
Runner Episode: 25	Loss: 1.078022	Accuracy: 0.645 	 Current Training Data Per Class: 375
Runner Episode: 26	Loss: 0.878108	Accuracy: 0.700 	 Current Training Data Per Class: 375
Runner Episode: 27	Loss: 1.246660	Accuracy: 0.670 	 Current Training Data Per Class: 375
Runner Episode: 28	Loss: 0.872664	Accuracy: 0.710 	 Current Training Data Per Class: 375
Runner Episode: 29	Loss: 1.161090	Accuracy: 0.670 	 Current Training Data Per Class: 375
Runner Episode: 30	Loss: 1.411097	Accuracy: 0.610 	 Current Training Data Per Class: 375
Runner Episode: 31	Loss: 1.581340	Accuracy: 0.635 	 Current Training Data Per Class: 375
Runner Episode: 32	Loss: 1.146435	Accuracy: 0.640 	 Current Training Data Per Class: 375
Runner Episode: 33	Loss: 1.050409	Accuracy: 0.670 	 Current Training Data Per Class: 375
Runner Episode: 34	Loss: 1.041158	Accuracy: 0.655 	 Current Training Data Per Class: 375
Runner Episode: 35	Loss: 0.695628	Accuracy: 0.730 	 Current Training Data Per Class: 375
Runner Episode: 36	Loss: 1.338024	Accuracy: 0.610 	 Current Training Data Per Class: 375
Runner Episode: 37	Loss: 1.237655	Accuracy: 0.585 	 Current Training Data Per Class: 375
Runner Episode: 38	Loss: 0.914957	Accuracy: 0.645 	 Current Training Data Per Class: 375
Runner Episode: 39	Loss: 1.011856	Accuracy: 0.700 	 Current Training Data Per Class: 375
Runner Episode: 40	Loss: 1.449565	Accuracy: 0.645 	 Current Training Data Per Class: 375
Runner Episode: 41	Loss: 1.227547	Accuracy: 0.630 	 Current Training Data Per Class: 375
Runner Episode: 42	Loss: 1.128710	Accuracy: 0.620 	 Current Training Data Per Class: 375
Runner Episode: 43	Loss: 1.002468	Accuracy: 0.720 	 Current Training Data Per Class: 375
Runner Episode: 44	Loss: 1.127134	Accuracy: 0.625 	 Current Training Data Per Class: 375
Runner Episode: 45	Loss: 1.110017	Accuracy: 0.650 	 Current Training Data Per Class: 375
Runner Episode: 46	Loss: 1.062176	Accuracy: 0.630 	 Current Training Data Per Class: 375
Runner Episode: 47	Loss: 0.988108	Accuracy: 0.670 	 Current Training Data Per Class: 375
Runner Episode: 48	Loss: 1.217704	Accuracy: 0.595 	 Current Training Data Per Class: 375
Runner Episode: 49	Loss: 0.923492	Accuracy: 0.660 	 Current Training Data Per Class: 375
Runner Episode: 50	Loss: 1.151097	Accuracy: 0.680 	 Current Training Data Per Class: 375
