Runner Episode: 1	Loss: 0.411338	Accuracy: 0.850 	 Current Training Data Per Class: 180
Runner Episode: 2	Loss: 0.507970	Accuracy: 0.840 	 Current Training Data Per Class: 180
Runner Episode: 3	Loss: 0.563165	Accuracy: 0.830 	 Current Training Data Per Class: 180
Runner Episode: 4	Loss: 0.874398	Accuracy: 0.720 	 Current Training Data Per Class: 180
Runner Episode: 5	Loss: 0.423179	Accuracy: 0.850 	 Current Training Data Per Class: 180
Runner Episode: 6	Loss: 0.681828	Accuracy: 0.810 	 Current Training Data Per Class: 180
Runner Episode: 7	Loss: 0.495641	Accuracy: 0.840 	 Current Training Data Per Class: 180
Runner Episode: 8	Loss: 0.375550	Accuracy: 0.880 	 Current Training Data Per Class: 180
Runner Episode: 9	Loss: 0.305862	Accuracy: 0.890 	 Current Training Data Per Class: 180
Runner Episode: 10	Loss: 0.184768	Accuracy: 0.930 	 Current Training Data Per Class: 180
Runner Episode: 11	Loss: 0.454347	Accuracy: 0.830 	 Current Training Data Per Class: 180
Runner Episode: 12	Loss: 0.627677	Accuracy: 0.770 	 Current Training Data Per Class: 180
Runner Episode: 13	Loss: 0.367458	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 14	Loss: 0.614207	Accuracy: 0.810 	 Current Training Data Per Class: 180
Runner Episode: 15	Loss: 0.309422	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 16	Loss: 0.584458	Accuracy: 0.830 	 Current Training Data Per Class: 180
Runner Episode: 17	Loss: 0.198394	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 18	Loss: 0.874489	Accuracy: 0.650 	 Current Training Data Per Class: 180
Runner Episode: 19	Loss: 0.648762	Accuracy: 0.820 	 Current Training Data Per Class: 180
Runner Episode: 20	Loss: 0.512671	Accuracy: 0.850 	 Current Training Data Per Class: 180
Runner Episode: 21	Loss: 0.344939	Accuracy: 0.870 	 Current Training Data Per Class: 180
Runner Episode: 22	Loss: 0.369265	Accuracy: 0.890 	 Current Training Data Per Class: 180
Runner Episode: 23	Loss: 0.649527	Accuracy: 0.830 	 Current Training Data Per Class: 180
Runner Episode: 24	Loss: 0.617590	Accuracy: 0.770 	 Current Training Data Per Class: 180
Runner Episode: 25	Loss: 0.517161	Accuracy: 0.850 	 Current Training Data Per Class: 180
Runner Episode: 26	Loss: 0.410433	Accuracy: 0.850 	 Current Training Data Per Class: 180
Runner Episode: 27	Loss: 0.821618	Accuracy: 0.700 	 Current Training Data Per Class: 180
Runner Episode: 28	Loss: 0.479860	Accuracy: 0.870 	 Current Training Data Per Class: 180
Runner Episode: 29	Loss: 0.455117	Accuracy: 0.870 	 Current Training Data Per Class: 180
Runner Episode: 30	Loss: 0.373800	Accuracy: 0.880 	 Current Training Data Per Class: 180
Runner Episode: 31	Loss: 0.500880	Accuracy: 0.810 	 Current Training Data Per Class: 180
Runner Episode: 32	Loss: 0.235269	Accuracy: 0.920 	 Current Training Data Per Class: 180
Runner Episode: 33	Loss: 0.668858	Accuracy: 0.770 	 Current Training Data Per Class: 180
Runner Episode: 34	Loss: 0.500094	Accuracy: 0.840 	 Current Training Data Per Class: 180
Runner Episode: 35	Loss: 0.181514	Accuracy: 0.940 	 Current Training Data Per Class: 180
Runner Episode: 36	Loss: 0.648416	Accuracy: 0.790 	 Current Training Data Per Class: 180
Runner Episode: 37	Loss: 0.752402	Accuracy: 0.750 	 Current Training Data Per Class: 180
Runner Episode: 38	Loss: 0.448251	Accuracy: 0.840 	 Current Training Data Per Class: 180
Runner Episode: 39	Loss: 0.700022	Accuracy: 0.730 	 Current Training Data Per Class: 180
Runner Episode: 40	Loss: 0.331766	Accuracy: 0.900 	 Current Training Data Per Class: 180
Runner Episode: 41	Loss: 0.545705	Accuracy: 0.800 	 Current Training Data Per Class: 180
Runner Episode: 42	Loss: 0.394665	Accuracy: 0.860 	 Current Training Data Per Class: 180
Runner Episode: 43	Loss: 0.342289	Accuracy: 0.880 	 Current Training Data Per Class: 180
Runner Episode: 44	Loss: 0.578816	Accuracy: 0.750 	 Current Training Data Per Class: 180
Runner Episode: 45	Loss: 0.618538	Accuracy: 0.820 	 Current Training Data Per Class: 180
Runner Episode: 46	Loss: 0.551961	Accuracy: 0.840 	 Current Training Data Per Class: 180
Runner Episode: 47	Loss: 0.573180	Accuracy: 0.770 	 Current Training Data Per Class: 180
Runner Episode: 48	Loss: 0.269852	Accuracy: 0.920 	 Current Training Data Per Class: 180
Runner Episode: 49	Loss: 0.400953	Accuracy: 0.780 	 Current Training Data Per Class: 180
Runner Episode: 50	Loss: 0.541602	Accuracy: 0.820 	 Current Training Data Per Class: 180
Runner Episode: 51	Loss: 0.286746	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 52	Loss: 0.432481	Accuracy: 0.880 	 Current Training Data Per Class: 180
Runner Episode: 53	Loss: 0.698526	Accuracy: 0.760 	 Current Training Data Per Class: 180
Runner Episode: 54	Loss: 0.184030	Accuracy: 0.970 	 Current Training Data Per Class: 180
Runner Episode: 55	Loss: 0.653795	Accuracy: 0.770 	 Current Training Data Per Class: 180
Runner Episode: 56	Loss: 0.456191	Accuracy: 0.890 	 Current Training Data Per Class: 180
Runner Episode: 57	Loss: 0.177372	Accuracy: 0.950 	 Current Training Data Per Class: 180
Runner Episode: 58	Loss: 0.789555	Accuracy: 0.660 	 Current Training Data Per Class: 180
Runner Episode: 59	Loss: 0.294475	Accuracy: 0.880 	 Current Training Data Per Class: 180
Runner Episode: 60	Loss: 0.559536	Accuracy: 0.840 	 Current Training Data Per Class: 180
Runner Episode: 61	Loss: 0.472742	Accuracy: 0.840 	 Current Training Data Per Class: 180
Runner Episode: 62	Loss: 0.417856	Accuracy: 0.840 	 Current Training Data Per Class: 180
Runner Episode: 63	Loss: 0.539007	Accuracy: 0.840 	 Current Training Data Per Class: 180
Runner Episode: 64	Loss: 0.389985	Accuracy: 0.860 	 Current Training Data Per Class: 180
Runner Episode: 65	Loss: 0.631789	Accuracy: 0.800 	 Current Training Data Per Class: 180
Runner Episode: 66	Loss: 0.335796	Accuracy: 0.860 	 Current Training Data Per Class: 180
