Runner Episode: 1	Loss: 2.309824	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 2	Loss: 1.692094	Accuracy: 0.210 	 Current Training Data Per Class: 20
Runner Episode: 3	Loss: 0.975011	Accuracy: 0.590 	 Current Training Data Per Class: 20
Runner Episode: 4	Loss: 1.911864	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 5	Loss: 1.803159	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 6	Loss: 1.621457	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 7	Loss: 1.512342	Accuracy: 0.300 	 Current Training Data Per Class: 20
Runner Episode: 8	Loss: 1.930120	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 9	Loss: 1.757935	Accuracy: 0.340 	 Current Training Data Per Class: 20
Runner Episode: 10	Loss: 1.921683	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 11	Loss: 1.793130	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 12	Loss: 1.882411	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 13	Loss: 2.050426	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 14	Loss: 1.829877	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 15	Loss: 1.364396	Accuracy: 0.400 	 Current Training Data Per Class: 20
Runner Episode: 16	Loss: 1.712369	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 17	Loss: 1.857189	Accuracy: 0.170 	 Current Training Data Per Class: 20
Runner Episode: 18	Loss: 1.557836	Accuracy: 0.310 	 Current Training Data Per Class: 20
Runner Episode: 19	Loss: 1.601316	Accuracy: 0.250 	 Current Training Data Per Class: 20
Runner Episode: 20	Loss: 2.044809	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 21	Loss: 1.627334	Accuracy: 0.370 	 Current Training Data Per Class: 20
Runner Episode: 22	Loss: 1.744162	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 23	Loss: 1.599469	Accuracy: 0.300 	 Current Training Data Per Class: 20
Runner Episode: 24	Loss: 1.765522	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 25	Loss: 1.380953	Accuracy: 0.240 	 Current Training Data Per Class: 20
Runner Episode: 26	Loss: 1.821840	Accuracy: 0.210 	 Current Training Data Per Class: 20
Runner Episode: 27	Loss: 1.732677	Accuracy: 0.240 	 Current Training Data Per Class: 20
Runner Episode: 28	Loss: 1.646303	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 29	Loss: 1.744448	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 30	Loss: 1.522974	Accuracy: 0.340 	 Current Training Data Per Class: 20
