Runner Episode: 1	Loss: 0.302484	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 2	Loss: 0.533785	Accuracy: 0.830 	 Current Training Data Per Class: 170
Runner Episode: 3	Loss: 0.481511	Accuracy: 0.840 	 Current Training Data Per Class: 170
Runner Episode: 4	Loss: 1.064889	Accuracy: 0.660 	 Current Training Data Per Class: 170
Runner Episode: 5	Loss: 0.493635	Accuracy: 0.860 	 Current Training Data Per Class: 170
Runner Episode: 6	Loss: 1.008335	Accuracy: 0.680 	 Current Training Data Per Class: 170
Runner Episode: 7	Loss: 0.570082	Accuracy: 0.800 	 Current Training Data Per Class: 170
Runner Episode: 8	Loss: 0.315434	Accuracy: 0.920 	 Current Training Data Per Class: 170
Runner Episode: 9	Loss: 0.511503	Accuracy: 0.830 	 Current Training Data Per Class: 170
Runner Episode: 10	Loss: 0.358171	Accuracy: 0.890 	 Current Training Data Per Class: 170
Runner Episode: 11	Loss: 0.677543	Accuracy: 0.820 	 Current Training Data Per Class: 170
Runner Episode: 12	Loss: 0.827947	Accuracy: 0.700 	 Current Training Data Per Class: 170
Runner Episode: 13	Loss: 0.283676	Accuracy: 0.910 	 Current Training Data Per Class: 170
Runner Episode: 14	Loss: 0.386569	Accuracy: 0.880 	 Current Training Data Per Class: 170
Runner Episode: 15	Loss: 0.377404	Accuracy: 0.890 	 Current Training Data Per Class: 170
Runner Episode: 16	Loss: 0.700169	Accuracy: 0.750 	 Current Training Data Per Class: 170
Runner Episode: 17	Loss: 0.161183	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 18	Loss: 0.474701	Accuracy: 0.810 	 Current Training Data Per Class: 170
Runner Episode: 19	Loss: 0.788396	Accuracy: 0.790 	 Current Training Data Per Class: 170
Runner Episode: 20	Loss: 0.889169	Accuracy: 0.770 	 Current Training Data Per Class: 170
Runner Episode: 21	Loss: 0.301010	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 22	Loss: 0.449794	Accuracy: 0.850 	 Current Training Data Per Class: 170
Runner Episode: 23	Loss: 0.624051	Accuracy: 0.800 	 Current Training Data Per Class: 170
Runner Episode: 24	Loss: 0.702232	Accuracy: 0.820 	 Current Training Data Per Class: 170
Runner Episode: 25	Loss: 0.338037	Accuracy: 0.890 	 Current Training Data Per Class: 170
Runner Episode: 26	Loss: 0.390145	Accuracy: 0.870 	 Current Training Data Per Class: 170
Runner Episode: 27	Loss: 0.567200	Accuracy: 0.810 	 Current Training Data Per Class: 170
Runner Episode: 28	Loss: 0.482820	Accuracy: 0.840 	 Current Training Data Per Class: 170
Runner Episode: 29	Loss: 0.286388	Accuracy: 0.890 	 Current Training Data Per Class: 170
Runner Episode: 30	Loss: 0.245920	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 31	Loss: 1.226074	Accuracy: 0.760 	 Current Training Data Per Class: 170
Runner Episode: 32	Loss: 0.536345	Accuracy: 0.790 	 Current Training Data Per Class: 170
Runner Episode: 33	Loss: 0.536691	Accuracy: 0.830 	 Current Training Data Per Class: 170
Runner Episode: 34	Loss: 0.408885	Accuracy: 0.860 	 Current Training Data Per Class: 170
Runner Episode: 35	Loss: 0.305747	Accuracy: 0.890 	 Current Training Data Per Class: 170
Runner Episode: 36	Loss: 0.752756	Accuracy: 0.750 	 Current Training Data Per Class: 170
Runner Episode: 37	Loss: 0.556782	Accuracy: 0.810 	 Current Training Data Per Class: 170
Runner Episode: 38	Loss: 0.388059	Accuracy: 0.830 	 Current Training Data Per Class: 170
Runner Episode: 39	Loss: 0.647315	Accuracy: 0.760 	 Current Training Data Per Class: 170
Runner Episode: 40	Loss: 0.189107	Accuracy: 0.940 	 Current Training Data Per Class: 170
Runner Episode: 41	Loss: 0.803446	Accuracy: 0.740 	 Current Training Data Per Class: 170
Runner Episode: 42	Loss: 0.518995	Accuracy: 0.830 	 Current Training Data Per Class: 170
Runner Episode: 43	Loss: 0.223918	Accuracy: 0.910 	 Current Training Data Per Class: 170
Runner Episode: 44	Loss: 0.634288	Accuracy: 0.780 	 Current Training Data Per Class: 170
Runner Episode: 45	Loss: 0.443327	Accuracy: 0.850 	 Current Training Data Per Class: 170
Runner Episode: 46	Loss: 0.989602	Accuracy: 0.700 	 Current Training Data Per Class: 170
Runner Episode: 47	Loss: 0.579712	Accuracy: 0.810 	 Current Training Data Per Class: 170
Runner Episode: 48	Loss: 0.343709	Accuracy: 0.890 	 Current Training Data Per Class: 170
Runner Episode: 49	Loss: 0.335982	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 50	Loss: 0.621339	Accuracy: 0.850 	 Current Training Data Per Class: 170
