Runner Episode: 1	Loss: 0.475980	Accuracy: 0.810 	 Current Training Data Per Class: 160
Runner Episode: 2	Loss: 0.571601	Accuracy: 0.820 	 Current Training Data Per Class: 160
Runner Episode: 3	Loss: 0.144765	Accuracy: 0.940 	 Current Training Data Per Class: 160
Runner Episode: 4	Loss: 0.431843	Accuracy: 0.850 	 Current Training Data Per Class: 160
Runner Episode: 5	Loss: 0.645474	Accuracy: 0.690 	 Current Training Data Per Class: 160
Runner Episode: 6	Loss: 0.376551	Accuracy: 0.880 	 Current Training Data Per Class: 160
Runner Episode: 7	Loss: 0.361611	Accuracy: 0.870 	 Current Training Data Per Class: 160
Runner Episode: 8	Loss: 0.537789	Accuracy: 0.800 	 Current Training Data Per Class: 160
Runner Episode: 9	Loss: 0.461408	Accuracy: 0.830 	 Current Training Data Per Class: 160
Runner Episode: 10	Loss: 0.563442	Accuracy: 0.790 	 Current Training Data Per Class: 160
Runner Episode: 11	Loss: 0.721892	Accuracy: 0.740 	 Current Training Data Per Class: 160
Runner Episode: 12	Loss: 0.370356	Accuracy: 0.830 	 Current Training Data Per Class: 160
Runner Episode: 13	Loss: 0.364946	Accuracy: 0.870 	 Current Training Data Per Class: 160
Runner Episode: 14	Loss: 0.649057	Accuracy: 0.730 	 Current Training Data Per Class: 160
Runner Episode: 15	Loss: 0.259070	Accuracy: 0.930 	 Current Training Data Per Class: 160
Runner Episode: 16	Loss: 0.195647	Accuracy: 0.920 	 Current Training Data Per Class: 160
Runner Episode: 17	Loss: 0.249891	Accuracy: 0.950 	 Current Training Data Per Class: 160
Runner Episode: 18	Loss: 0.583627	Accuracy: 0.760 	 Current Training Data Per Class: 160
Runner Episode: 19	Loss: 0.534903	Accuracy: 0.840 	 Current Training Data Per Class: 160
Runner Episode: 20	Loss: 0.526686	Accuracy: 0.830 	 Current Training Data Per Class: 160
Runner Episode: 21	Loss: 0.805239	Accuracy: 0.730 	 Current Training Data Per Class: 160
Runner Episode: 22	Loss: 0.953661	Accuracy: 0.690 	 Current Training Data Per Class: 160
Runner Episode: 23	Loss: 0.242939	Accuracy: 0.890 	 Current Training Data Per Class: 160
Runner Episode: 24	Loss: 0.592684	Accuracy: 0.820 	 Current Training Data Per Class: 160
Runner Episode: 25	Loss: 0.686614	Accuracy: 0.780 	 Current Training Data Per Class: 160
Runner Episode: 26	Loss: 0.478910	Accuracy: 0.860 	 Current Training Data Per Class: 160
Runner Episode: 27	Loss: 0.485692	Accuracy: 0.820 	 Current Training Data Per Class: 160
Runner Episode: 28	Loss: 0.620286	Accuracy: 0.800 	 Current Training Data Per Class: 160
Runner Episode: 29	Loss: 0.646345	Accuracy: 0.780 	 Current Training Data Per Class: 160
Runner Episode: 30	Loss: 0.274009	Accuracy: 0.920 	 Current Training Data Per Class: 160
Runner Episode: 31	Loss: 0.319167	Accuracy: 0.900 	 Current Training Data Per Class: 160
Runner Episode: 32	Loss: 0.227816	Accuracy: 0.940 	 Current Training Data Per Class: 160
Runner Episode: 33	Loss: 0.293002	Accuracy: 0.880 	 Current Training Data Per Class: 160
Runner Episode: 34	Loss: 0.460869	Accuracy: 0.840 	 Current Training Data Per Class: 160
Runner Episode: 35	Loss: 0.227778	Accuracy: 0.930 	 Current Training Data Per Class: 160
Runner Episode: 36	Loss: 0.858400	Accuracy: 0.700 	 Current Training Data Per Class: 160
Runner Episode: 37	Loss: 0.759379	Accuracy: 0.780 	 Current Training Data Per Class: 160
Runner Episode: 38	Loss: 0.674755	Accuracy: 0.800 	 Current Training Data Per Class: 160
Runner Episode: 39	Loss: 0.844825	Accuracy: 0.760 	 Current Training Data Per Class: 160
Runner Episode: 40	Loss: 0.394099	Accuracy: 0.870 	 Current Training Data Per Class: 160
Runner Episode: 41	Loss: 0.776669	Accuracy: 0.760 	 Current Training Data Per Class: 160
Runner Episode: 42	Loss: 0.579471	Accuracy: 0.770 	 Current Training Data Per Class: 160
Runner Episode: 43	Loss: 0.987091	Accuracy: 0.720 	 Current Training Data Per Class: 160
Runner Episode: 44	Loss: 0.597080	Accuracy: 0.780 	 Current Training Data Per Class: 160
Runner Episode: 45	Loss: 0.639589	Accuracy: 0.710 	 Current Training Data Per Class: 160
Runner Episode: 46	Loss: 0.216708	Accuracy: 0.940 	 Current Training Data Per Class: 160
Runner Episode: 47	Loss: 0.520332	Accuracy: 0.820 	 Current Training Data Per Class: 160
Runner Episode: 48	Loss: 0.370836	Accuracy: 0.900 	 Current Training Data Per Class: 160
Runner Episode: 49	Loss: 0.396674	Accuracy: 0.870 	 Current Training Data Per Class: 160
Runner Episode: 50	Loss: 0.613155	Accuracy: 0.770 	 Current Training Data Per Class: 160
