Runner Episode: 1	Loss: 1.610424	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.430999	Accuracy: 0.180 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.443476	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.605193	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 2.113057	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.838738	Accuracy: 0.150 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.678985	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.674926	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.151312	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.885390	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.330040	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 2.048373	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.505403	Accuracy: 0.110 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.619825	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.311429	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.207944	Accuracy: 0.510 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.497974	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.897631	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.770232	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.598836	Accuracy: 0.200 	 Current Training Data Per Class: 5
