Train Episode: 1	Loss: 1.766882	Accuracy: 0.300	Current Training Data Per Class: 42
Train Episode: 2	Loss: 3.190133	Accuracy: 0.180	Current Training Data Per Class: 35
Train Episode: 3	Loss: 2.388674	Accuracy: 0.400	Current Training Data Per Class: 32
Train Episode: 4	Loss: 3.162581	Accuracy: 0.160	Current Training Data Per Class: 44
Train Episode: 5	Loss: 2.631487	Accuracy: 0.200	Current Training Data Per Class: 45
Train Episode: 6	Loss: 3.648258	Accuracy: 0.200	Current Training Data Per Class: 42
Train Episode: 7	Loss: 2.974580	Accuracy: 0.100	Current Training Data Per Class: 39
Train Episode: 8	Loss: 3.850147	Accuracy: 0.200	Current Training Data Per Class: 42
Train Episode: 9	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 42
Train Episode: 10	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 45
Train Episode: 11	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 48
Train Episode: 12	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 38
Train Episode: 13	Loss: 4.868625	Accuracy: 0.000	Current Training Data Per Class: 41
Train Episode: 14	Loss: 4.093394	Accuracy: 0.000	Current Training Data Per Class: 35
Train Episode: 15	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 35
Train Episode: 16	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 33
Train Episode: 17	Loss: 4.591078	Accuracy: 0.000	Current Training Data Per Class: 49
Train Episode: 18	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 32
Train Episode: 19	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 30
Train Episode: 20	Loss: 3.850147	Accuracy: 0.200	Current Training Data Per Class: 47
Train Episode: 21	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 40
Train Episode: 22	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 40
Train Episode: 23	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 30
Train Episode: 24	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 48
Train Episode: 25	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 49
Train Episode: 26	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 44
Train Episode: 27	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 36
Train Episode: 28	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 31
Train Episode: 29	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 48
Train Episode: 30	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 42
Train Episode: 31	Loss: 4.859890	Accuracy: 0.000	Current Training Data Per Class: 37
Train Episode: 32	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 31
Train Episode: 33	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 45
Train Episode: 34	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 46
Train Episode: 35	Loss: 3.850147	Accuracy: 0.200	Current Training Data Per Class: 34
Train Episode: 36	Loss: 3.850147	Accuracy: 0.000	Current Training Data Per Class: 35
